block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_3,red,red,X,no_color_change,no_figure_change,not_first,update,13,correct
b_3,blue,red,Y,color_change,figure_change,not_first,no_update,14,correct
b_3,red,red,Y,color_change,no_figure_change,not_first,update,15,correct
b_3,blue,red,Y,color_change,no_figure_change,not_first,no_update,16,correct
b_3,red,red,Y,color_change,no_figure_change,not_first,update,17,correct
b_3,red,red,Y,no_color_change,no_figure_change,not_first,update,18,correct
b_3,red,red,Y,no_color_change,no_figure_change,not_first,update,19,correct
b_3,red,red,Y,no_color_change,no_figure_change,not_first,update,20,correct
b_3,red,red,X,no_color_change,figure_change,not_first,update,21,correct
b_3,blue,red,X,color_change,no_figure_change,not_first,no_update,22,correct
b_3,blue,red,Y,no_color_change,figure_change,not_first,no_update,23,correct
b_3,red,red,X,color_change,figure_change,not_first,update,24,correct
b_3,blue,red,X,color_change,no_figure_change,not_first,no_update,25,correct
b_3,red,red,X,color_change,no_figure_change,not_first,update,26,correct
b_3,blue,red,Y,color_change,figure_change,not_first,no_update,27,correct
