Event,RecordingTimestamp
TRIALID,103904
!E TRIAL_EVENT_VAR fixation,103906
!E TRIAL_EVENT_VAR stimulus_on,104916
!E TRIAL_EVENT_VAR stimulus_off,106921
TRIAL_END,107429
TRIALID,107447
!E TRIAL_EVENT_VAR fixation,107448
!E TRIAL_EVENT_VAR stimulus_on,108456
!E TRIAL_EVENT_VAR stimulus_off,110461
TRIAL_END,110969
TRIALID,110985
!E TRIAL_EVENT_VAR fixation,110987
!E TRIAL_EVENT_VAR stimulus_on,111993
!E TRIAL_EVENT_VAR stimulus_off,113998
TRIAL_END,114505
TRIALID,114521
!E TRIAL_EVENT_VAR fixation,114523
!E TRIAL_EVENT_VAR stimulus_on,115530
!E TRIAL_EVENT_VAR stimulus_off,117535
TRIAL_END,118041
TRIALID,118058
!E TRIAL_EVENT_VAR fixation,118063
!E TRIAL_EVENT_VAR stimulus_on,119072
!E TRIAL_EVENT_VAR stimulus_off,121076
TRIAL_END,121583
TRIALID,121593
!E TRIAL_EVENT_VAR fixation,121595
!E TRIAL_EVENT_VAR stimulus_on,122602
!E TRIAL_EVENT_VAR stimulus_off,124606
TRIAL_END,125114
TRIALID,125131
!E TRIAL_EVENT_VAR fixation,125135
!E TRIAL_EVENT_VAR stimulus_on,126143
!E TRIAL_EVENT_VAR stimulus_off,128148
TRIAL_END,128656
TRIALID,128666
!E TRIAL_EVENT_VAR fixation,128668
!E TRIAL_EVENT_VAR stimulus_on,129674
!E TRIAL_EVENT_VAR stimulus_off,131679
TRIAL_END,132187
TRIALID,132203
!E TRIAL_EVENT_VAR fixation,132204
!E TRIAL_EVENT_VAR stimulus_on,133211
!E TRIAL_EVENT_VAR stimulus_off,135217
TRIAL_END,135724
TRIALID,135739
!E TRIAL_EVENT_VAR fixation,135740
!E TRIAL_EVENT_VAR stimulus_on,136747
!E TRIAL_EVENT_VAR stimulus_off,138751
TRIAL_END,139259
TRIALID,139276
!E TRIAL_EVENT_VAR fixation,139279
!E TRIAL_EVENT_VAR stimulus_on,140286
!E TRIAL_EVENT_VAR stimulus_off,142292
TRIAL_END,142800
TRIALID,142811
!E TRIAL_EVENT_VAR fixation,142813
!E TRIAL_EVENT_VAR stimulus_on,143820
!E TRIAL_EVENT_VAR stimulus_off,145825
TRIAL_END,146332
TRIALID,146347
!E TRIAL_EVENT_VAR fixation,146349
!E TRIAL_EVENT_VAR stimulus_on,147357
!E TRIAL_EVENT_VAR stimulus_off,149361
TRIAL_END,149867
TRIALID,152671
!E TRIAL_EVENT_VAR fixation,152672
!E TRIAL_EVENT_VAR stimulus_on,153683
!E TRIAL_EVENT_VAR stimulus_off,155687
TRIAL_END,156194
TRIALID,156205
!E TRIAL_EVENT_VAR fixation,156207
!E TRIAL_EVENT_VAR stimulus_on,157215
!E TRIAL_EVENT_VAR stimulus_off,159220
TRIAL_END,159727
TRIALID,159742
!E TRIAL_EVENT_VAR fixation,159744
!E TRIAL_EVENT_VAR stimulus_on,160750
!E TRIAL_EVENT_VAR stimulus_off,162755
TRIAL_END,163263
TRIALID,163278
!E TRIAL_EVENT_VAR fixation,163280
!E TRIAL_EVENT_VAR stimulus_on,164286
!E TRIAL_EVENT_VAR stimulus_off,166292
TRIAL_END,166799
TRIALID,168863
!E TRIAL_EVENT_VAR fixation,168867
!E TRIAL_EVENT_VAR stimulus_on,169878
!E TRIAL_EVENT_VAR stimulus_off,171885
TRIAL_END,172391
TRIALID,172402
!E TRIAL_EVENT_VAR fixation,172403
!E TRIAL_EVENT_VAR stimulus_on,173411
!E TRIAL_EVENT_VAR stimulus_off,175417
TRIAL_END,175924
TRIALID,175938
!E TRIAL_EVENT_VAR fixation,175940
!E TRIAL_EVENT_VAR stimulus_on,176946
!E TRIAL_EVENT_VAR stimulus_off,178951
TRIAL_END,179459
TRIALID,179475
!E TRIAL_EVENT_VAR fixation,179476
!E TRIAL_EVENT_VAR stimulus_on,180483
!E TRIAL_EVENT_VAR stimulus_off,182489
TRIAL_END,182997
TRIALID,183011
!E TRIAL_EVENT_VAR fixation,183013
!E TRIAL_EVENT_VAR stimulus_on,184019
!E TRIAL_EVENT_VAR stimulus_off,186025
TRIAL_END,186532
TRIALID,186547
!E TRIAL_EVENT_VAR fixation,186548
!E TRIAL_EVENT_VAR stimulus_on,187556
!E TRIAL_EVENT_VAR stimulus_off,189560
TRIAL_END,190068
TRIALID,190083
!E TRIAL_EVENT_VAR fixation,190085
!E TRIAL_EVENT_VAR stimulus_on,191092
!E TRIAL_EVENT_VAR stimulus_off,193097
TRIAL_END,193605
TRIALID,193619
!E TRIAL_EVENT_VAR fixation,193621
!E TRIAL_EVENT_VAR stimulus_on,194627
!E TRIAL_EVENT_VAR stimulus_off,196632
TRIAL_END,197140
TRIALID,197156
!E TRIAL_EVENT_VAR fixation,197158
!E TRIAL_EVENT_VAR stimulus_on,198164
!E TRIAL_EVENT_VAR stimulus_off,200169
TRIAL_END,200677
TRIALID,200692
!E TRIAL_EVENT_VAR fixation,200694
!E TRIAL_EVENT_VAR stimulus_on,201700
!E TRIAL_EVENT_VAR stimulus_off,203705
TRIAL_END,204212
TRIALID,204228
!E TRIAL_EVENT_VAR fixation,204230
!E TRIAL_EVENT_VAR stimulus_on,205238
!E TRIAL_EVENT_VAR stimulus_off,207243
TRIAL_END,207750
TRIALID,207764
!E TRIAL_EVENT_VAR fixation,207766
!E TRIAL_EVENT_VAR stimulus_on,208773
!E TRIAL_EVENT_VAR stimulus_off,210777
TRIAL_END,211284
TRIALID,214414
!E TRIAL_EVENT_VAR fixation,214416
!E TRIAL_EVENT_VAR stimulus_on,215426
!E TRIAL_EVENT_VAR stimulus_off,217431
TRIAL_END,217938
TRIALID,217953
!E TRIAL_EVENT_VAR fixation,217955
!E TRIAL_EVENT_VAR stimulus_on,218962
!E TRIAL_EVENT_VAR stimulus_off,220967
TRIAL_END,221475
TRIALID,221490
!E TRIAL_EVENT_VAR fixation,221492
!E TRIAL_EVENT_VAR stimulus_on,222498
!E TRIAL_EVENT_VAR stimulus_off,224504
TRIAL_END,225011
TRIALID,225026
!E TRIAL_EVENT_VAR fixation,225028
!E TRIAL_EVENT_VAR stimulus_on,226034
!E TRIAL_EVENT_VAR stimulus_off,228040
TRIAL_END,228547
TRIALID,228563
!E TRIAL_EVENT_VAR fixation,228564
!E TRIAL_EVENT_VAR stimulus_on,229573
!E TRIAL_EVENT_VAR stimulus_off,231578
TRIAL_END,232085
