device_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
5021938965,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4407675266265869,0.41259104013442993,-22.493011474609375,175.44851684570312,57.98155975341797,0.5769006609916687,0.5123024582862854,0.5925357937812805,-36.48416519165039,-5.836684226989746,677.7607421875,3.0435791015625,1,1,1,0.6289907693862915,0.36755526065826416,48.053619384765625,187.886962890625,63.2613639831543,0.4418983459472656,0.5160951018333435,0.5675040483474731,27.25989532470703,-7.551446437835693,670.251220703125,3.0872955322265625,1,1,1
5021947294,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4416259527206421,0.3776015639305115,-22.171279907226562,185.11227416992188,62.083580017089844,0.5768008232116699,0.5123658180236816,0.5926918387413025,-36.439334869384766,-5.867142677307129,677.8075561523438,,0,1,1,0.6246131062507629,0.3815322816371918,46.41285705566406,184.02664184570312,61.62275695800781,0.4417850077152252,0.5161795616149902,0.5684973001480103,27.325210571289062,-7.594432353973389,670.5491943359375,,0,1,1
5021955627,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.44175001978874207,0.3843451738357544,-22.124771118164062,183.249755859375,61.29298400878906,0.5768208503723145,0.5124273300170898,0.5927962064743042,-36.45051574707031,-5.896615028381348,677.8388671875,,0,1,1,0.610029935836792,0.40332311391830444,40.94703674316406,178.00823974609375,59.068092346191406,0.44179797172546387,0.5162725448608398,0.5696303248405457,27.33298110961914,-7.6419453620910645,670.8890991210938,,0,1,1
5021963961,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4598463177680969,0.41253048181533813,-15.34222412109375,175.46524047851562,57.9886589050293,0.5767734050750732,0.5124883651733398,0.5929323434829712,-36.430179595947266,-5.9259352684021,677.8796997070312,3.3009033203125,1,1,1,0.6314893364906311,0.3884802460670471,48.990081787109375,182.10768127441406,60.80820846557617,0.44174355268478394,0.516351044178009,0.5705094337463379,27.369277954101562,-7.681832313537598,671.15283203125,3.145477294921875,1,1,1
5021972292,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4625171422958374,0.4386875629425049,-14.341201782226562,168.24093627929688,54.92211151123047,0.5767021179199219,0.5125249028205872,0.5929588079452515,-36.39677810668945,-5.943347454071045,677.8876342773438,,0,1,1,0.6338433623313904,0.3869686722755432,49.87237548828125,182.52516174316406,60.985416412353516,0.4416792094707489,0.516383707523346,0.5710321068763733,27.405914306640625,-7.698965072631836,671.3096313476562,,0,1,1
5021980625,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4644063115119934,0.44636043906211853,-13.633132934570312,166.12176513671875,54.02257537841797,0.5767303705215454,0.5125468373298645,0.5932230353355408,-36.414451599121094,-5.954434394836426,677.9669189453125,,0,1,1,0.6269664764404297,0.3949902057647705,47.29490661621094,180.3096923828125,60.045005798339844,0.4417570233345032,0.5163888335227966,0.5717695951461792,27.37837791442871,-7.703927993774414,671.5308837890625,,0,1,1
5021988960,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4498988687992096,0.385495662689209,-19.070556640625,182.93199157714844,61.15810775756836,0.5766790509223938,0.5125186443328857,0.594199001789093,-36.40582275390625,-5.943633556365967,678.2597045898438,3.357147216796875,1,1,1,0.6302903890609741,0.3807857036590576,48.54071044921875,184.23284912109375,61.71028137207031,0.4416702687740326,0.5163769125938416,0.572462797164917,27.427642822265625,-7.700716018676758,671.7388305664062,3.1177215576171875,1,1,1
5021997315,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4484701156616211,0.3863542675971985,-19.606063842773438,182.69485473632812,61.05744934082031,0.5766324996948242,0.5125168561935425,0.5947076678276062,-36.39189147949219,-5.944118022918701,678.4122924804688,,0,1,1,0.6243336200714111,0.3629160225391388,46.30810546875,189.16827392578125,63.80524826049805,0.4416537582874298,0.5163723230361938,0.5724515914916992,27.435274124145508,-7.698504447937012,671.7354736328125,,0,1,1
5022005648,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.4401314854621887,0.3797574043273926,-22.731414794921875,184.516845703125,61.83083724975586,0.5766874551773071,0.5125300288200378,0.5956388115882874,-36.43300247192383,-5.952823162078857,678.691650390625,,0,1,1,0.6174080967903137,0.3739272952079773,43.71238708496094,186.12705993652344,62.51433563232422,0.4417700171470642,0.5163739323616028,0.5724582672119141,27.380687713623047,-7.69929313659668,671.7374877929688,,0,1,1
5022013957,"0       10077.034950
1       10085.035563
2       10094.040155
3       10102.006435
4       10110.036135
            ...     
5326    56605.063200
5327    56614.063263
5328    56624.063015
5329    56639.063835
5330    56640.063763
Name: UTC, Length: 5331, dtype: float64",0.43488430976867676,0.4020010828971863,-24.69805908203125,178.3733673095703,59.223079681396484,0.5766323208808899,0.5125586986541748,0.5966115593910217,-36.42245101928711,-5.9690165519714355,678.9834594726562,2.991302490234375,1,1,1,0.6154335737228394,0.3737080991268158,42.97233581542969,186.18759155273438,62.54003143310547,0.4416954815387726,0.5164282917976379,0.5725398659706116,27.416732788085938,-7.725125312805176,671.761962890625,3.1187286376953125,1,1,1
