Event,RecordingTimestamp
TRIALID,36557
!E TRIAL_EVENT_VAR fixation,36559
!E TRIAL_EVENT_VAR stimulus_on,37568
!E TRIAL_EVENT_VAR stimulus_off,39575
TRIAL_END,40081
TRIALID,40093
!E TRIAL_EVENT_VAR fixation,40095
!E TRIAL_EVENT_VAR stimulus_on,41102
!E TRIAL_EVENT_VAR stimulus_off,43106
TRIAL_END,43613
TRIALID,43630
!E TRIAL_EVENT_VAR fixation,43631
!E TRIAL_EVENT_VAR stimulus_on,44639
!E TRIAL_EVENT_VAR stimulus_off,46643
TRIAL_END,47150
TRIALID,47166
!E TRIAL_EVENT_VAR fixation,47168
!E TRIAL_EVENT_VAR stimulus_on,48175
!E TRIAL_EVENT_VAR stimulus_off,50180
TRIAL_END,50687
TRIALID,50702
!E TRIAL_EVENT_VAR fixation,50704
!E TRIAL_EVENT_VAR stimulus_on,51710
!E TRIAL_EVENT_VAR stimulus_off,53715
TRIAL_END,54221
TRIALID,54238
!E TRIAL_EVENT_VAR fixation,54240
!E TRIAL_EVENT_VAR stimulus_on,55247
!E TRIAL_EVENT_VAR stimulus_off,57252
TRIAL_END,57759
TRIALID,57775
!E TRIAL_EVENT_VAR fixation,57777
!E TRIAL_EVENT_VAR stimulus_on,58784
!E TRIAL_EVENT_VAR stimulus_off,60789
TRIAL_END,61297
TRIALID,61312
!E TRIAL_EVENT_VAR fixation,61313
!E TRIAL_EVENT_VAR stimulus_on,62320
!E TRIAL_EVENT_VAR stimulus_off,64326
TRIAL_END,64832
TRIALID,64847
!E TRIAL_EVENT_VAR fixation,64849
!E TRIAL_EVENT_VAR stimulus_on,65855
!E TRIAL_EVENT_VAR stimulus_off,67861
TRIAL_END,68368
TRIALID,68384
!E TRIAL_EVENT_VAR fixation,68386
!E TRIAL_EVENT_VAR stimulus_on,69394
!E TRIAL_EVENT_VAR stimulus_off,71400
TRIAL_END,71906
TRIALID,71919
!E TRIAL_EVENT_VAR fixation,71921
!E TRIAL_EVENT_VAR stimulus_on,72928
