device_time_stamp,system_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
440591843560,440591843551,-40861,0.7450746893882751,0.5945374965667725,-3.0835695266723633,169.52230834960938,55.465999603271484,0.5530527830123901,0.5037067532539368,0.6531980633735657,-25.84580421447754,-1.8058385848999023,695.9594116210938,,0,1,1,0.8288319110870361,0.5646543502807617,59.24235534667969,181.04258728027344,60.35607147216797,0.4208647608757019,0.4967021942138672,0.6068902611732483,37.78288269042969,1.574520230293274,682.0670776367188,,0,1,1
440591851863,440591851854,-40853,0.7416056990623474,0.5836021900177002,-5.66493558883667,173.7379913330078,57.25545120239258,0.5531240701675415,0.503887951374054,0.6532666087150574,-25.881311416625977,-1.8941547870635986,695.97998046875,,0,1,1,0.827282726764679,0.5711527466773987,58.08956527709961,178.53738403320312,59.29267501831055,0.42084380984306335,0.49685052037239075,0.6070291996002197,37.795188903808594,1.5038063526153564,682.1087646484375,,0,1,1
440591860188,440591860179,-40846,0.7401009202003479,0.5759352445602417,-6.784680366516113,176.6936798095703,58.510066986083984,0.5531132817268372,0.5039912462234497,0.6532672047615051,-25.876066207885742,-1.944488286972046,695.9801635742188,3.398468017578125,1,1,1,0.8252034783363342,0.5738106966018677,56.54234313964844,177.51271057128906,58.85772705078125,0.42078709602355957,0.49695903062820435,0.6072544455528259,37.82602310180664,1.4521316289901733,682.1763305664062,3.44677734375,1,1,1
440591868550,440591868541,-40838,0.7393726110458374,0.5912759900093079,-7.326634407043457,170.7796630859375,55.99971008300781,0.5531923770904541,0.5038484334945679,0.6528855562210083,-25.910308837890625,-1.8746052980422974,695.8656616210938,,0,1,1,0.8256160020828247,0.5600931644439697,56.84931182861328,182.8009796142578,61.10246276855469,0.4209451973438263,0.4968840777873993,0.6072558760643005,37.75054168701172,1.4879207611083984,682.1767578125,,0,1,1
440591876901,440591876892,-40830,0.7420458793640137,0.5781519412994385,-5.337385654449463,175.83912658691406,58.1473274230957,0.5534301996231079,0.5037254691123962,0.6526957154273987,-26.0240535736084,-1.8145602941513062,695.8087158203125,,0,1,1,0.8255878686904907,0.5602989792823792,56.82837677001953,182.7216339111328,61.068782806396484,0.42118483781814575,0.496743768453598,0.6075720191001892,37.6413459777832,1.5551495552062988,682.2716064453125,,0,1,1
440591885305,440591885296,-40822,0.742453932762146,0.5721534490585327,-5.033742904663086,178.151611328125,59.12892150878906,0.5535762906074524,0.5034481883049011,0.6525052785873413,-26.093063354492188,-1.6793478727340698,695.7515869140625,3.350067138671875,1,1,1,0.8275895118713379,0.557045578956604,58.31785202026367,183.97584533691406,61.60116958618164,0.42126283049583435,0.49651166796684265,0.6079738140106201,37.610740661621094,1.6662877798080444,682.3921508789062,3.350189208984375,1,1,1
440591893618,440591893609,-40813,0.7413878440856934,0.5712788105010986,-5.827046871185303,178.48878479003906,59.27204513549805,0.5536758303642273,0.5033777952194214,0.6520066261291504,-26.135906219482422,-1.64470636844635,695.6019897460938,,0,1,1,0.8292458057403564,0.5724003314971924,59.55034637451172,178.05642700195312,59.08852005004883,0.42143744230270386,0.496483713388443,0.6080666184425354,37.52885437011719,1.679714322090149,682.4199829101562,,0,1,1
440591901893,440591901884,-40805,0.7412674427032471,0.586284875869751,-5.916640758514404,172.7037811279297,56.81645584106445,0.5538318753242493,0.5034136176109314,0.6518393754959106,-26.210006713867188,-1.6620348691940308,695.5518188476562,,0,1,1,0.8284419178962708,0.576459527015686,58.952152252197266,176.49156188964844,58.42427444458008,0.4215676188468933,0.4964967668056488,0.6083528399467468,37.47139358520508,1.6736785173416138,682.505859375,,0,1,1
440591910312,440591910303,-40797,0.7427687644958496,0.5800008177757263,-4.799468040466309,175.12635803222656,57.84477996826172,0.5538066625595093,0.5036408305168152,0.6516530513763428,-26.19561767578125,-1.7725396156311035,695.4959106445312,3.2961883544921875,1,1,1,0.8281407356262207,0.5771980285644531,58.72803497314453,176.2068634033203,58.30342483520508,0.4215458035469055,0.496722936630249,0.6086950898170471,37.48744583129883,1.5658694505691528,682.6085205078125,3.38323974609375,1,1,1
440591918691,440591918682,-40788,0.7465294599533081,0.5882883071899414,-2.001037120819092,171.9314422607422,56.488616943359375,0.5536760091781616,0.5040426254272461,0.6512190699577332,-26.127107620239258,-1.9677677154541016,695.36572265625,,0,1,1,0.828953742980957,0.5771551132202148,59.333011627197266,176.22340393066406,58.310447692871094,0.4214123785495758,0.49712398648262024,0.6089064478874207,37.55469512939453,1.3743577003479004,682.6719360351562,,0,1,1
