block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id
b_0,blue,X,,,,0
b_0,red,Y,,,,1
b_0,red,X,,,,2
b_1,blue,Y,,,,0
b_1,blue,X,,,,1
b_1,red,Y,,,,2
b_1,blue,Y,,,,3
b_1,blue,Y,,,,4
b_1,blue,X,,,,5
b_1,red,Y,,,,6
b_1,blue,Y,,,,7
b_1,red,X,,,,8
b_1,red,Y,,,,9
b_1,blue,X,,,,10
b_1,red,X,,,,11
b_1,red,Y,,,,12
b_1,red,X,,,,13
b_1,blue,Y,,,,14
b_1,blue,Y,,,,15
b_1,blue,Y,,,,16
b_1,red,Y,,,,17
b_1,blue,X,,,,18
b_1,red,Y,,,,19
b_1,red,Y,,,,20
b_1,blue,X,,,,21
b_0,red,Y,no_color_change,no_figure_change,update,0
b_0,red,X,no_color_change,figure_change,update,1
b_0,blue,Y,color_change,figure_change,no_update,2
b_0,blue,Y,no_color_change,no_figure_change,no_update,3
b_0,red,X,color_change,figure_change,update,4
b_0,red,Y,no_color_change,figure_change,update,5
b_1,red,Y,no_color_change,no_figure_change,update,0
