block,border_color,figure,is_color_change,is_figure_change,is_update,trial_id,is_correct
b_0,blue,X,no_color_change,no_figure_change,update,0,correct
b_0,blue,Y,no_color_change,figure_change,update,1,correct
b_0,blue,X,no_color_change,figure_change,update,2,correct
b_0,red,Y,color_change,figure_change,no_update,3,correct
b_0,blue,Y,color_change,no_figure_change,update,4,correct
b_0,red,Y,color_change,no_figure_change,no_update,5,correct
b_0,red,X,no_color_change,figure_change,no_update,6,correct
b_0,blue,Y,color_change,figure_change,update,7,correct
b_0,red,X,color_change,figure_change,no_update,8,correct
b_0,red,X,no_color_change,no_figure_change,no_update,9,correct
b_0,red,X,no_color_change,no_figure_change,no_update,10,correct
b_0,blue,X,color_change,no_figure_change,update,11,correct
b_0,blue,Y,no_color_change,figure_change,update,12,correct
b_0,red,X,color_change,figure_change,no_update,13,correct
b_0,blue,X,color_change,no_figure_change,update,14,correct
b_0,blue,X,no_color_change,no_figure_change,update,15,correct
b_0,red,X,color_change,no_figure_change,no_update,16,correct
b_0,red,X,no_color_change,no_figure_change,no_update,17,correct
b_0,red,Y,no_color_change,figure_change,no_update,18,correct
b_0,blue,X,color_change,figure_change,update,19,correct
b_0,red,Y,color_change,figure_change,no_update,20,correct
b_0,red,X,no_color_change,figure_change,no_update,21,correct
b_0,red,Y,no_color_change,figure_change,no_update,22,correct
b_0,red,Y,no_color_change,no_figure_change,no_update,23,correct
b_0,red,X,no_color_change,figure_change,no_update,24,correct
b_1,blue,Y,no_color_change,no_figure_change,update,0,correct
