block,border_color,dominant,figure,is_color_change,is_figure_change,is_first,is_update,trial_id,is_correct
b_0,blue,blue,Y,no_color_change,no_figure_change,first,update,0,correct
b_0,blue,blue,X,no_color_change,figure_change,not_first,update,1,correct
b_0,red,blue,X,color_change,no_figure_change,not_first,no_update,2,correct
b_0,red,blue,Y,no_color_change,figure_change,not_first,no_update,3,correct
b_0,blue,blue,Y,color_change,no_figure_change,not_first,update,4,correct
b_0,red,blue,Y,color_change,no_figure_change,not_first,no_update,5,correct
b_0,blue,blue,Y,color_change,no_figure_change,not_first,update,6,correct
b_0,blue,blue,Y,no_color_change,no_figure_change,not_first,update,7,correct
b_0,red,blue,Y,color_change,no_figure_change,not_first,no_update,8,correct
b_0,blue,blue,X,color_change,figure_change,not_first,update,9,correct
b_0,blue,blue,Y,no_color_change,figure_change,not_first,update,10,correct
b_0,red,blue,Y,color_change,no_figure_change,not_first,no_update,11,correct
b_0,red,blue,Y,no_color_change,no_figure_change,not_first,no_update,12,correct
b_0,red,blue,Y,no_color_change,no_figure_change,not_first,no_update,13,correct
b_0,red,blue,X,no_color_change,figure_change,not_first,no_update,14,correct
b_0,red,blue,X,no_color_change,no_figure_change,not_first,no_update,15,correct
b_0,blue,blue,Y,color_change,figure_change,not_first,update,16,correct
b_0,blue,blue,X,no_color_change,figure_change,not_first,update,17,correct
b_0,red,blue,X,color_change,no_figure_change,not_first,no_update,18,correct
b_0,blue,blue,Y,color_change,figure_change,not_first,update,19,correct
b_0,blue,blue,Y,no_color_change,no_figure_change,not_first,update,20,correct
b_0,blue,blue,X,no_color_change,figure_change,not_first,update,21,correct
b_0,red,blue,Y,color_change,figure_change,not_first,no_update,22,correct
b_0,blue,blue,X,color_change,figure_change,not_first,update,23,correct
b_0,blue,blue,Y,no_color_change,figure_change,not_first,update,24,correct
b_0,blue,blue,X,no_color_change,figure_change,not_first,update,25,correct
b_0,blue,blue,Y,no_color_change,figure_change,not_first,update,26,correct
b_0,blue,blue,X,no_color_change,figure_change,not_first,update,27,correct
b_0,red,blue,X,color_change,no_figure_change,not_first,no_update,28,correct
b_0,blue,blue,X,color_change,no_figure_change,not_first,update,29,correct
b_0,red,blue,X,color_change,no_figure_change,not_first,no_update,30,correct
b_0,blue,blue,X,color_change,no_figure_change,not_first,update,31,correct
b_0,red,blue,Y,color_change,figure_change,not_first,no_update,32,correct
b_0,red,blue,X,no_color_change,figure_change,not_first,no_update,33,correct
b_0,red,blue,Y,no_color_change,figure_change,not_first,no_update,34,correct
