block,is_correct,last_dominant,pressed_key
b_0,correct,Y,y
b_1,correct,Y,y
b_2,correct,X,x
b_3,correct,Y,y
b_4,correct,Y,y
b_5,correct,X,x
b_6,correct,Y,y
b_7,correct,Y,y
