block,is_correct,last_dominant,pressed_key
b_0,correct,X,x
b_1,correct,Y,y
b_2,correct,Y,y
b_3,correct,Y,y
b_4,correct,Y,y
b_5,correct,Y,y
b_6,correct,Y,y
b_7,correct,X,x
