,bin,time(ms),color change & not first & update & correct,no color change & not first & no update & correct,
314919309,74,1841,-0.1258,0.64506,
314919309,75,1866,-0.19163,0.18997,
314919309,76,1892,-0.16387,-0.21228,
314919309,77,1917,-0.1607,-0.4006,
314919309,78,1942,-0.40155,-0.89264,
314919309,79,1967,-0.37767,-0.98156,
314919309,80,1992,-0.50738,-1.3849,
314919309,81,2018,-0.73915,-1.3888,
314919309,82,2043,-0.87851,-1.391,
314919309,83,2068,-1.1869,-1.4568,
314919309,84,2093,-1.1197,-1.7153,
314919309,85,2119,-1.3187,-1.79,
314919309,86,2144,-1.6856,-1.9092,
314919309,87,2169,-1.8062,-1.7234,
314919309,88,2194,-1.7401,-1.7864,
314919309,89,2219,-1.9956,-1.7732,
314919309,90,2245,-1.9155,-1.6146,
314919309,91,2270,-2.2105,-1.4935,
314919309,92,2295,-2.146,-1.5033,
314919309,93,2320,-2.1711,-1.6739,
314919309,94,2346,-1.8554,-1.6064,
314919309,95,2371,-1.6289,-1.3403,
314919309,96,2396,-1.9817,-1.1383,
314919309,97,2421,-1.924,-0.94023,
314919309,98,2446,-1.6848,-0.9336,
314919309,99,2472,-1.8768,-0.72147,
314919309,100,2497,-1.4299,-0.81589,
314919309,101,2522,-1.3751,-0.65332,
314919309,102,2547,-2.0956,-0.70863,
314919309,103,2573,-2.2651,-0.51243,
314919309,104,2598,-2.0382,-0.37728,
314919309,105,2623,-0.53711,
314919309,106,2648,-0.41938,
314919309,107,2673,-0.49348,
314919309,108,2699,-0.51386,
314919309,109,2724,-0.46281,
314919309,110,2749,-0.42338,
314919309,111,2774,-0.4474,
314919309,112,2800,-0.13759,
314919309,113,2825,-0.51476,
314919309,114,2850,-0.18397,
318657061,1,0,0,0,
318657061,2,25,0.42207,-0.12826,
318657061,3,50,0.64017,-0.25896,
318657061,4,76,1.0002,-0.33607,
318657061,5,101,0.67391,-0.34632,
318657061,6,126,0.76526,0.042438,
318657061,7,151,0.69706,-0.33085,
318657061,8,176,0.71153,-0.20661,
318657061,9,202,0.78867,-0.22522,
318657061,10,227,0.80115,0.051423,
318657061,11,252,0.63964,0.18999,
318657061,12,277,0.71295,-0.013328,
318657061,13,303,0.69467,-0.079529,
318657061,14,328,0.82448,0.1984,
318657061,15,353,0.6011,-0.34072,
318657061,16,378,0.61424,-0.54231,
318657061,17,403,0.39175,-0.3527,
318657061,18,429,0.57415,-0.53386,
318657061,19,454,0.60631,-0.33236,
318657061,20,479,0.38711,-0.70661,
318657061,21,504,0.62475,-0.3274,
318657061,22,529,0.63968,-0.85478,
318657061,23,555,0.27471,-1.0762,
318657061,24,580,0.48748,-0.93483,
318657061,25,605,0.44847,-0.83232,
318657061,26,630,0.2551,-0.7642,
318657061,27,656,0.47398,-0.70445,
318657061,28,681,0.41508,-0.83702,
318657061,29,706,-0.020457,-0.55949,
318657061,30,731,0.14225,-0.67515,
318657061,31,756,0.31691,-0.69062,
318657061,32,782,0.20818,-0.78523,
318657061,33,807,0.10286,-0.35519,
318657061,34,832,0.45152,-1.0154,
318657061,35,857,-0.26826,-0.43314,
318657061,36,882,-0.19388,-0.78817,
318657061,37,908,0.090394,-0.81848,
318657061,38,933,-0.21619,-0.56036,
318657061,39,958,-0.2374,-0.99135,
318657061,40,983,0.20533,-0.61045,
318657061,41,1009,-0.23845,-0.8344,
318657061,42,1034,0.15669,-0.61718,
318657061,43,1059,-0.19531,-0.93538,
318657061,44,1084,-0.3607,-0.69961,
318657061,45,1109,-0.29919,-0.73353,
318657061,46,1135,-0.17045,-0.82616,
318657061,47,1160,-0.1058,-0.64959,
318657061,48,1185,-0.18391,-0.82886,
318657061,49,1210,-0.42006,-0.96446,
318657061,50,1235,0.15748,-0.70557,
318657061,51,1261,-0.24302,-0.92293,
318657061,52,1286,-0.13433,-1.0232,
318657061,53,1311,-0.27226,-0.47245,
318657061,54,1336,-0.36937,-0.5791,
318657061,55,1362,-0.019976,-0.62497,
318657061,56,1387,-0.15596,-0.94199,
318657061,57,1412,-0.39328,-0.77657,
318657061,58,1437,-0.1399,-1.2066,
318657061,59,1462,-0.20136,-1.0094,
318657061,60,1488,-0.54179,-1.1326,
318657061,61,1513,-0.50836,-1.251,
318657061,62,1538,-0.30379,-1.178,
318657061,63,1563,-1.1004,-1.1483,
318657061,64,1588,-0.9047,-1.0158,
318657061,65,1614,-0.93035,-0.89276,
318657061,66,1639,-0.51812,-0.62423,
318657061,67,1664,-0.80162,-1.1334,
318657061,68,1689,-0.9428,-0.81177,
318657061,69,1715,-1.0234,-0.9725,
318657061,70,1740,-1.3188,-0.47892,
318657061,71,1765,-0.76725,-0.54268,
318657061,72,1790,-1.028,-0.61262,
318657061,73,1815,-1.0065,-0.64622,
318657061,74,1841,-1.1218,-0.42798,
318657061,75,1866,-1.1396,-0.36232,
318657061,76,1891,-0.6563,-0.67147,
318657061,77,1916,-0.88637,-0.76273,
318657061,78,1941,-0.95409,-0.95172,
318657061,79,1967,-1.127,-0.50886,
318657061,80,1992,-0.67938,-1.0637,
318657061,81,2017,-0.83815,-0.70561,
318657061,82,2042,-0.67974,-1.0698,
318657061,83,2068,-0.82752,-1.2244,
318657061,84,2093,-0.94584,-0.87195,
318657061,85,2118,-0.88257,-1.0983,
318657061,86,2143,-0.57238,-0.96615,
318657061,87,2168,-1.1903,-0.8121,
318657061,88,2194,-0.53117,-1.2062,
318657061,89,2219,-0.61358,-0.7891,
318657061,90,2244,-0.9897,-1.07,
318657061,91,2269,-0.92183,-1.3151,
318657061,92,2294,-0.92115,-0.98872,
318657061,93,2320,-0.74273,-0.96866,
318657061,94,2345,-0.59048,-0.90091,
318657061,95,2370,-1.1805,-1.0311,
318657061,96,2395,-0.80581,-1.2673,
318657061,97,2421,-1.0067,-0.9894,
318657061,98,2446,-1.2477,-1.0021,
318657061,99,2471,-1.0928,-0.9655,
318657061,100,2496,-1.5148,-0.84981,
318657061,101,2521,-1.3855,-0.68556,
318657061,102,2547,-1.5281,-0.755,
318657061,103,2572,-1.5421,-0.25104,
318657061,104,2597,-1.3889,-0.42017,
318657061,105,2622,-2.1671,-0.62101,
318657061,106,2647,-2.1901,-0.46938,
318657061,107,2673,-2.1058,-0.49655,
318657061,108,2698,-2.0926,-0.61842,
318657061,109,2723,-2.2205,-0.57496,
318657061,110,2748,-2.1043,-0.65618,
318657061,111,2774,-2.2048,-0.37446,
318657061,112,2799,-1.7401,-0.37739,
318657061,113,2824,-1.8993,-0.40086,
318657061,114,2849,-1.9968,-0.31351,
318657061,115,2874,-1.82,-0.50672,
318657061,116,2900,-0.97771,
318657061,117,2925,-0.56343,
318657061,118,2950,-0.39546,
324124114,1,0,0,0,
324124114,2,25,-0.16045,0.28695,
324124114,3,51,-0.10617,0.032075,
324124114,4,76,-0.17981,-0.072726,
324124114,5,101,0.0020775,-0.34763,
324124114,6,126,0.022149,0.017303,
324124114,7,152,0.25301,-0.40982,
324124114,8,177,0.12319,-0.56889,
324124114,9,202,0.62299,-0.050202,
324124114,10,227,0.64346,0.07543,
324124114,11,253,0.15989,0.068133,
324124114,12,278,-0.0079788,0.56419,
324124114,13,303,-0.0062217,0.4196,
324124114,14,328,0.53913,0.44033,
324124114,15,354,0.16092,0.23077,
324124114,16,379,0.18934,0.92419,
324124114,17,404,0.45494,0.92465,
324124114,18,429,0.32929,1.0854,
324124114,19,455,0.36983,0.51289,
324124114,20,480,0.51024,0.96184,
324124114,21,505,0.21987,1.347,
324124114,22,530,0.42924,1.4671,
324124114,23,556,0.31757,1.3771,
324124114,24,581,0.49762,1.6258,
324124114,25,606,0.73787,1.7638,
324124114,26,632,0.33715,1.5713,
324124114,27,657,0.17524,1.5901,
324124114,28,682,0.23781,2.1066,
324124114,29,707,0.71577,1.1817,
324124114,30,733,0.74704,1.5606,
324124114,31,758,0.70689,1.7324,
324124114,32,783,0.94718,1.4366,
324124114,33,808,1.1886,1.6366,
324124114,34,834,0.76958,0.54987,
324124114,35,859,1.06,0.4965,
324124114,36,884,0.38179,0.2144,
324124114,37,909,1.6442,0.056616,
324124114,38,935,1.1718,0.1642,
324124114,39,960,0.87262,0.34895,
324124114,40,985,0.96693,0.36903,
324124114,41,1010,0.71638,0.20865,
324124114,42,1036,0.6903,-0.028302,
324124114,43,1061,0.5331,0.054226,
324124114,44,1086,0.846,0.77952,
324124114,45,1111,1.1351,0.41505,
324124114,46,1137,1.0544,0.59241,
324124114,47,1162,1.2876,0.32837,
324124114,48,1187,1.1763,0.21922,
324124114,49,1213,0.87295,0.14627,
324124114,50,1238,0.48308,0.13782,
324124114,51,1263,0.64179,-0.14416,
324124114,52,1288,0.53867,-0.30363,
324124114,53,1314,0.48586,-0.70107,
324124114,54,1339,0.40633,-0.86505,
324124114,55,1364,0.52825,-0.65843,
324124114,56,1389,0.65827,-0.11989,
324124114,57,1415,0.23786,-0.047572,
324124114,58,1440,0.51448,-0.26426,
324124114,59,1465,-0.17216,-0.46507,
324124114,60,1490,0.041686,-0.53191,
324124114,61,1516,-0.67875,-0.5025,
324124114,62,1541,-0.2484,-0.15352,
324124114,63,1566,-0.77426,-0.21027,
324124114,64,1591,-0.67984,-0.26219,
324124114,65,1617,-0.41448,-0.0049064,
324124114,66,1642,-0.39141,-0.41323,
324124114,67,1667,-0.28952,-0.63668,
324124114,68,1692,-0.97162,-0.57202,
324124114,69,1718,-0.78959,-0.21743,
324124114,70,1743,-1.5197,-0.053073,
324124114,71,1768,-1.9476,0.054608,
324124114,72,1793,-1.7037,0.14184,
324124114,73,1819,-1.5737,0.053883,
324124114,74,1844,-1.4265,0.45311,
324124114,75,1869,-1.3517,0.2172,
324124114,76,1895,-1.7282,-0.090236,
324124114,77,1920,-1.2363,0.024358,
324124114,78,1945,-1.4252,-0.1664,
324124114,79,1970,-1.3809,-1.0466,
324124114,80,1996,-1.3519,-0.51025,
324124114,81,2021,-1.4181,-0.98869,
324124114,82,2046,-1.3041,-1.1267,
324124114,83,2071,-0.97486,-1.3139,
324124114,84,2097,-0.6403,-0.66801,
324124114,85,2122,-1.3819,-0.74141,
324124114,86,2147,-1.204,-0.84152,
324124114,87,2172,-0.95741,-1.3006,
324124114,88,2198,-1.1385,-1.5756,
324124114,89,2223,-1.0058,-1.027,
324124114,90,2248,-1.5696,-1.2205,
324124114,91,2273,-1.3182,-0.94553,
324124114,92,2299,-0.66234,-1.1797,
324124114,93,2324,-0.75703,-0.94667,
324124114,94,2349,-0.50189,
324124114,95,2374,0.090136,
324124114,96,2400,-0.12327,
324124114,97,2425,0.42402,
