bin,x_axis,tValues,pValues,pValues_bonf,BFs
1,0,-16.745739372063,0.0379717268470841,1,2.60728974276672
2,25.2232142857143,-3.67288430145175,0.169227716747839,1,1.43978385769392
3,50.4464285714286,-6.53121755406616,0.096722218763061,1,1.86883589630712
4,75.6696428571429,-10.3230556378159,0.0614778807766383,1,2.225132132737
5,100.892857142857,-16.5446205097758,0.0384322028250842,1,2.59770743804425
6,126.116071428571,-13.4350361144394,0.0472978264478063,1,2.43284594888446
7,151.339285714286,-80.4000451703666,0.00791774365207099,1,3.85663995783789
8,176.5625,-5.51720897131033,0.114148774465584,1,1.74005306815262
9,201.785714285714,-6.64727698848759,0.0950586844831319,1,1.88238072431608
10,227.008928571429,-2.32053664644732,0.259032130769268,1,1.13175606195748
11,252.232142857143,-6.55621528508421,0.0963590507284051,1,1.87177205906073
12,277.455357142857,-3.79286556769295,0.164112048104745,1,1.46279355284699
13,302.678571428571,-6.72099858135784,0.0940311813221772,1,1.8908707511309
14,327.901785714286,-4.1464423724969,0.15065704518719,1,1.52733102879698
15,353.125,-2.79060207016849,0.219054642809421,1,1.25017670115698
16,378.348214285714,-3.24349761107485,0.190388992461727,1,1.35229474303174
17,403.571428571429,-2.44263096167956,0.247376991462616,1,1.16382945084382
18,428.794642857143,-2.920178918493,0.210038886783273,1,1.28051877075626
19,454.017857142857,-2.15762381492835,0.276293789677994,1,1.08745658895046
20,479.241071428571,-3.01860674007576,0.203654799614889,1,1.30294867673745
21,504.464285714286,-2.60048821935842,0.23371007620793,1,1.20390759912378
22,529.6875,-4.46595130038648,0.140236432561138,1,1.58182771562259
23,554.910714285714,-4.96036074313685,0.126643953227896,1,1.6599109853739
24,580.133928571429,-2.72200294604671,0.224134970203558,1,1.23372652129492
25,605.357142857143,-2.80331644588154,0.218137236961937,1,1.25319584471086
26,630.580357142857,-2.8477044454742,0.214991517752379,1,1.2636641214523
27,655.803571428571,-2.91096924623143,0.210656014948435,1,1.27839311213747
28,681.026785714286,-3.81801304536327,0.163077932088943,1,1.46754214077334
29,706.25,-2.71482376511415,0.224679730524342,1,1.23198912460585
30,731.473214285714,-1.89624259997567,0.308947913211807,1,1.01273238038834
31,756.696428571429,-2.1656059482023,0.275397972294749,1,1.08966766110235
32,781.919642857143,-2.55760780918912,0.237277992526681,1,1.19317290632772
33,807.142857142857,-2.03557518310033,0.290701287376152,1,1.05312488398679
34,832.366071428571,-1.59412091292153,0.356669485621066,1,0.920951485731142
35,857.589285714286,-1.38732075998326,0.397606499780016,1,0.855310217182842
36,882.8125,-0.956271603024813,0.514227946142246,1,0.716071145299495
37,908.035714285714,-1.02102291661643,0.493378045547055,1,0.736734682600714
38,933.258928571429,-0.890449732897378,0.536850467142971,1,0.695375201598129
39,958.482142857143,-1.21229637088627,0.439095191845343,1,0.798657712690424
40,983.705357142857,-0.994719617404205,0.501685243422009,1,0.728310915619565
41,1008.92857142857,-1.21229779666039,0.439094824315218,1,0.798658175942647
42,1034.15178571429,-1.0077886205641,0.497530434763714,1,0.732491753569468
43,1059.375,-1.34555764229586,0.406880284920209,1,0.841852709338477
44,1084.59821428571,-1.26533914536535,0.42577096119405,1,0.815882686518845
45,1109.82142857143,-0.885981728436821,0.538440482672204,1,0.693984445747539
46,1135.04464285714,-0.977559822371044,0.507223674092291,1,0.722836448069824
47,1160.26785714286,-0.776575127802242,0.579644173281756,1,0.660653762854312
48,1185.49107142857,-0.629363493058327,0.642390966454638,1,0.618837977134968
49,1210.71428571429,-0.725570993725433,0.600404999203858,1,0.645701110798522
50,1235.9375,-0.758283003108638,0.58697306729654,1,0.655241731754675
51,1261.16071428571,-0.692731640484074,0.614315882091265,1,0.63631776872095
52,1286.38392857143,-0.457124257245109,0.72704122410181,1,0.576635858764629
53,1311.60714285714,-0.379301053389178,0.769202341328077,1,0.560784624754856
54,1336.83035714286,-0.519377276791781,0.695040674568854,1,0.59086439347604
55,1362.05357142857,-0.303712180522964,0.812286946117302,1,0.547722841490228
56,1387.27678571429,-0.337923640388223,0.792540814836119,1,0.55333167455346
57,1412.5,-0.500800228457551,0.704425342160428,1,0.58648538369054
58,1437.72321428571,-0.428645189823025,0.742198212936218,1,0.570571346846197
59,1462.94642857143,-0.457354637175321,0.726919920395792,1,0.576686101557997
60,1488.16964285714,-0.319960047735375,0.802860054056086,1,0.550322385006368
61,1513.39285714286,-0.463542882891994,0.723669496293442,1,0.578042631894901
62,1538.61607142857,-0.573533269256275,0.668492162089187,1,0.604224689347982
63,1563.83928571429,-0.516683171101043,0.696392914598437,1,0.590222604500575
64,1589.0625,-0.475678464820434,0.717339702371446,1,0.580741363964773
65,1614.28571428571,-0.603704204283806,0.654227145730123,1,0.612022972675371
66,1639.50892857143,-0.420643776007845,0.746513853281728,1,0.568920936734869
67,1664.73214285714,-0.542530286409694,0.683542535216326,1,0.59647122912327
68,1689.95535714286,-0.603361268082965,0.654387174818624,1,0.611932999875015
69,1715.17857142857,-0.657650176029838,0.629656369351412,1,0.626531991302276
70,1740.40178571429,-0.805810548596206,0.568197404465338,1,0.669408403547231
71,1765.625,-1.0240132073193,0.492447398409917,1,0.737694576629638
72,1790.84821428571,-0.931584840415318,0.522539130987523,1,0.708266668754947
73,1816.07142857143,-0.979260963442448,0.506670367282267,1,0.723378354302474
74,1841.29464285714,-1.19911413993872,0.442515353497773,1,0.794374458734786
75,1866.51785714286,-1.08679391663173,0.473536967672432,1,0.757932316671832
76,1891.74107142857,-1.09074565305031,0.472385813340141,1,0.759210661151494
77,1916.96428571429,-0.769408063226758,0.582500295577029,1,0.658526996858854
78,1942.1875,-0.812182301720756,0.565745636790031,1,0.671332516604988
79,1967.41071428571,-0.649787100878103,0.633163427531532,1,0.624374926916984
80,1992.63392857143,-0.509182915831487,0.70017314315153,1,0.58844785045968
81,2017.85714285714,-0.658939104631851,0.629083894798666,1,0.626886889184641
82,2043.08035714286,-0.310088615049202,0.808577020039083,1,0.548728999256244
83,2068.30357142857,-0.568187512282334,0.671058918066025,1,0.60286845550942
84,2093.52678571429,-0.66373679156242,0.626958966806494,1,0.628211097297798
85,2118.75,-1.0529007565422,0.483598712154339,1,0.746988156050015
86,2143.97321428571,-0.534496270112388,0.687507360915681,1,0.594507379324753
87,2169.19642857143,-0.364069894354443,0.777721755712942,1,0.557958448428613
88,2194.41964285714,-0.227436552168629,0.857631208899541,1,0.537147127863229
89,2219.64285714286,-0.372240758387381,0.773140914996555,1,0.559462797881091
90,2244.86607142857,-0.306178467754747,0.810850442247645,1,0.548109842707135
91,2270.08928571429,-0.395253904692627,0.760371077291844,1,0.563845004421831
92,2295.3125,-0.467834617261435,0.721424218718955,1,0.578991249460356
93,2320.53571428571,-0.412769930202926,0.750784853983974,1,0.567320350628044
94,2345.75892857143,-0.0265945868193182,0.98307335002264,1,0.523392328048235
95,2370.98214285714,-0.049138169729196,0.968742810844461,1,0.523860826797654
96,2396.20535714286,-Inf,NaN,1,NaN
97,2421.42857142857,-Inf,NaN,1,NaN
98,2446.65178571429,-Inf,NaN,1,NaN
99,2471.875,-Inf,NaN,1,NaN
100,2497.09821428571,-Inf,NaN,1,NaN
101,2522.32142857143,-Inf,NaN,1,NaN
102,2547.54464285714,-Inf,NaN,1,NaN
103,2572.76785714286,-Inf,NaN,1,NaN
104,2597.99107142857,-Inf,NaN,1,NaN
105,2623.21428571429,-Inf,NaN,1,NaN
106,2648.4375,-Inf,NaN,1,NaN
107,2673.66071428571,-Inf,NaN,1,NaN
108,2698.88392857143,-Inf,NaN,1,NaN
109,2724.10714285714,-Inf,NaN,1,NaN
110,2749.33035714286,-Inf,NaN,1,NaN
111,2774.55357142857,-Inf,NaN,1,NaN
112,2799.77678571429,-Inf,NaN,1,NaN
113,2825,-Inf,NaN,1,NaN
