Event,RecordingTimestamp
TRIALID,46430
!E TRIAL_EVENT_VAR fixation,46438
!E TRIAL_EVENT_VAR stimulus_on,47467
!E TRIAL_EVENT_VAR stimulus_off,51896
TRIAL_END,51901
TRIALID,51907
!E TRIAL_EVENT_VAR fixation,51910
!E TRIAL_EVENT_VAR stimulus_on,52934
!E TRIAL_EVENT_VAR stimulus_off,56478
TRIAL_END,56485
TRIALID,56490
!E TRIAL_EVENT_VAR fixation,56491
!E TRIAL_EVENT_VAR stimulus_on,57515
!E TRIAL_EVENT_VAR stimulus_off,61034
TRIAL_END,61039
TRIALID,61043
!E TRIAL_EVENT_VAR fixation,61045
!E TRIAL_EVENT_VAR stimulus_on,62069
!E TRIAL_EVENT_VAR stimulus_off,65613
TRIAL_END,65618
TRIALID,65622
!E TRIAL_EVENT_VAR fixation,65624
!E TRIAL_EVENT_VAR stimulus_on,66648
!E TRIAL_EVENT_VAR stimulus_off,70184
TRIAL_END,70189
TRIALID,70194
!E TRIAL_EVENT_VAR fixation,70195
!E TRIAL_EVENT_VAR stimulus_on,71220
!E TRIAL_EVENT_VAR stimulus_off,74763
TRIAL_END,74768
TRIALID,74773
!E TRIAL_EVENT_VAR fixation,74774
!E TRIAL_EVENT_VAR stimulus_on,75799
!E TRIAL_EVENT_VAR stimulus_off,79344
TRIAL_END,79349
TRIALID,79354
!E TRIAL_EVENT_VAR fixation,79355
!E TRIAL_EVENT_VAR stimulus_on,80380
!E TRIAL_EVENT_VAR stimulus_off,83927
TRIAL_END,83932
TRIALID,91510
!E TRIAL_EVENT_VAR fixation,91512
!E TRIAL_EVENT_VAR stimulus_on,92539
!E TRIAL_EVENT_VAR stimulus_off,96066
TRIAL_END,96071
TRIALID,96076
!E TRIAL_EVENT_VAR fixation,96078
!E TRIAL_EVENT_VAR stimulus_on,97105
!E TRIAL_EVENT_VAR stimulus_off,100650
TRIAL_END,100655
TRIALID,100659
!E TRIAL_EVENT_VAR fixation,100661
!E TRIAL_EVENT_VAR stimulus_on,101685
!E TRIAL_EVENT_VAR stimulus_off,105233
TRIAL_END,105238
TRIALID,105243
!E TRIAL_EVENT_VAR fixation,105244
!E TRIAL_EVENT_VAR stimulus_on,106267
!E TRIAL_EVENT_VAR stimulus_off,109819
TRIAL_END,109824
TRIALID,109828
!E TRIAL_EVENT_VAR fixation,109830
!E TRIAL_EVENT_VAR stimulus_on,110855
!E TRIAL_EVENT_VAR stimulus_off,114399
TRIAL_END,114404
TRIALID,114409
!E TRIAL_EVENT_VAR fixation,114410
!E TRIAL_EVENT_VAR stimulus_on,115433
!E TRIAL_EVENT_VAR stimulus_off,118979
TRIAL_END,118984
TRIALID,118988
!E TRIAL_EVENT_VAR fixation,118990
!E TRIAL_EVENT_VAR stimulus_on,120014
!E TRIAL_EVENT_VAR stimulus_off,123559
TRIAL_END,123565
TRIALID,123569
!E TRIAL_EVENT_VAR fixation,123571
!E TRIAL_EVENT_VAR stimulus_on,124595
!E TRIAL_EVENT_VAR stimulus_off,128145
TRIAL_END,128150
TRIALID,134374
!E TRIAL_EVENT_VAR fixation,134376
!E TRIAL_EVENT_VAR stimulus_on,135388
!E TRIAL_EVENT_VAR stimulus_off,138881
TRIAL_END,138886
TRIALID,138890
!E TRIAL_EVENT_VAR fixation,138891
!E TRIAL_EVENT_VAR stimulus_on,139899
!E TRIAL_EVENT_VAR stimulus_off,143394
TRIAL_END,143399
TRIALID,143403
!E TRIAL_EVENT_VAR fixation,143405
!E TRIAL_EVENT_VAR stimulus_on,144413
!E TRIAL_EVENT_VAR stimulus_off,147907
TRIAL_END,147912
TRIALID,147916
!E TRIAL_EVENT_VAR fixation,147917
!E TRIAL_EVENT_VAR stimulus_on,148923
!E TRIAL_EVENT_VAR stimulus_off,152420
TRIAL_END,152425
TRIALID,155128
!E TRIAL_EVENT_VAR fixation,155130
!E TRIAL_EVENT_VAR stimulus_on,156138
