bin,x_axis,tValues,pValues,pValues_bonf,BFs
1,0,NaN,NaN,1,NaN
2,25.2358490566038,-0.721595829899399,0.488864463001512,1,0.384255896475513
3,50.4716981132075,-1.64589927002634,0.13419235893705,1,0.856217681326021
4,75.7075471698113,-1.25758835353416,0.240191122537069,1,0.578750041573476
5,100.943396226415,-2.69099222295793,0.0247562494986838,1,3.02603008066602
6,126.179245283019,-1.60091379416349,0.14386007822927,1,0.815666593463437
7,151.415094339623,-3.48683792461092,0.00686423709030193,0.892350821739251,8.3905208360792
8,176.650943396226,-2.06409844548092,0.0690206106684974,1,1.38441730032685
9,201.88679245283,-1.75547470603061,0.113065209580094,1,0.966421739935747
10,227.122641509434,-1.05842643368524,0.317440520738609,1,0.486971143911275
11,252.358490566038,-0.767811007230155,0.462267811771022,1,0.395152569074987
12,277.594339622641,-0.463158110573936,0.654246728159747,1,0.338441502486964
13,302.830188679245,-0.404864548130791,0.695030941390339,1,0.331276409551546
14,328.066037735849,-2.17917693103241,0.0572512096453325,1,1.59169783362618
15,353.301886792453,-1.04740845936736,0.322224102199607,1,0.482657895185425
16,378.537735849057,0.150522331317055,0.883672078456509,1,0.311863811721293
17,403.77358490566,-0.619069388502438,0.551216989494332,1,0.363159371578113
18,429.009433962264,0.45042108630991,0.663061225953604,1,0.33678379083739
19,454.245283018868,0.163551873940112,0.873697723548716,1,0.31241412886325
20,479.481132075472,0.146407642240805,0.886826544433919,1,0.311699647995122
21,504.716981132075,0.258507677944043,0.801829935196599,1,0.317841405607247
22,529.952830188679,0.664323043499426,0.523137394403945,1,0.371966488304163
23,555.188679245283,0.794323608421404,0.447444998299734,1,0.401817487852951
24,580.424528301887,0.965917596627296,0.359321763525827,1,0.45295503222493
25,605.660377358491,-0.138222244101735,0.893107968535046,1,0.311386779274198
26,630.896226415094,-0.0128107533896196,0.990058263097723,1,0.308851725262763
27,656.132075471698,1.37021958977735,0.203823680908407,1,0.643974691677298
28,681.367924528302,0.96838628659217,0.358153187784957,1,0.453800017064248
29,706.603773584906,-0.686859844620032,0.509480030345632,1,0.37664645010615
30,731.839622641509,0.0207523462435753,0.983896014747079,1,0.308887293337974
31,757.075471698113,-0.407023143658772,0.69350101035364,1,0.331522691537972
32,782.311320754717,0.280858578521708,0.785168605028488,1,0.319487422318481
33,807.547169811321,0.528115889906395,0.610191282750131,1,0.347723350734231
34,832.783018867925,0.454948560198133,0.659921671135849,1,0.337367059659139
35,858.018867924528,-0.132696585974576,0.897352810280258,1,0.311185869184579
36,883.254716981132,-1.42288960041043,0.188492134993974,1,0.678334753150121
37,908.490566037736,-1.52127909483205,0.162515584480972,1,0.749916146343845
38,933.72641509434,0.220386370019982,0.830488351001557,1,0.315360625833266
39,958.962264150943,-1.10003302845824,0.299869120260142,1,0.503933878708695
40,984.198113207547,-0.694203400377275,0.505077493693077,1,0.378214693269279
41,1009.43396226415,-1.32704417528828,0.217173780768307,1,0.617698007410527
42,1034.66981132075,-1.31039505307991,0.222515555188438,1,0.607998120032042
43,1059.90566037736,-0.446409778203688,0.665848668626343,1,0.336272503907403
44,1085.14150943396,-0.929522781874442,0.376875908567167,1,0.440876779165199
45,1110.37735849057,-1.65578144240111,0.132148958495308,1,0.865475536827176
46,1135.61320754717,-1.45769493330811,0.17891634524583,1,0.70251275133399
47,1160.84905660377,-1.80364000132098,0.104785127779503,1,1.02047365399176
48,1186.08490566038,-2.21108458797876,0.0543489876525348,1,1.65517213577079
49,1211.32075471698,-1.96970216260088,0.0803806225815347,1,1.23718071487391
50,1236.55660377358,-0.658957280880907,0.526421356480576,1,0.37088142799991
51,1261.79245283019,-1.39330634277855,0.196976564822997,1,0.658714706390522
52,1287.02830188679,-1.22009667903413,0.253432983801608,1,0.559321743509629
53,1312.2641509434,-2.26710205659113,0.0495974833818623,1,1.77348855393038
54,1337.5,-2.9199271097825,0.0170338402416875,1,4.05801984316407
55,1362.7358490566,-1.85514935604395,0.0965563522615893,1,1.08243563354997
56,1387.97169811321,-1.67479998406862,0.128295689209235,1,0.883658954119088
57,1413.20754716981,-1.89663587697787,0.0903728310189036,1,1.13566616592194
58,1438.44339622642,-1.51830303914257,0.163252617112818,1,0.747600195758804
59,1463.67924528302,-2.47393140589802,0.0353415788127777,1,2.2967723002381
60,1488.91509433962,-2.33035632774722,0.0447210243282165,1,1.91834278818462
61,1514.15094339623,-2.48379254729266,0.0347743823444573,1,2.3255367668061
62,1539.38679245283,-2.6855077823567,0.0249796569715268,1,3.00490572857267
63,1564.62264150943,-2.47765702236926,0.0351262108654818,1,2.30759518718908
64,1589.85849056604,-0.863375131150427,0.410348853664492,1,0.420668158834242
65,1615.09433962264,-2.06469707094065,0.0689537352823475,1,1.38541328846808
66,1640.33018867925,-1.57292293946857,0.150187192653294,1,0.791705241907071
67,1665.56603773585,-0.97668143594655,0.354247169328857,1,0.456663666911424
68,1690.80188679245,-1.65789861856997,0.131714864901757,1,0.867475765722971
69,1716.03773584906,-1.78153671213493,0.108512542829709,1,0.995217609741288
70,1741.27358490566,-1.76468810187796,0.111435957943199,1,0.976482066369919
71,1766.50943396226,-2.53138271032179,0.0321623216315964,1,2.46980723104049
72,1791.74528301887,-1.98274646720336,0.0787107909742139,1,1.25640594030985
73,1816.98113207547,-2.05591704204664,0.0699408657931577,1,1.37088680158856
74,1842.21698113208,-1.60601903483071,0.142732215739444,1,0.820140114369423
75,1867.45283018868,-1.74173798079138,0.115535190665441,1,0.951660805863059
76,1892.68867924528,-3.23845904820755,0.0101837509701558,1,6.10926345628487
77,1917.92452830189,-1.4060302905373,0.193287897420194,1,0.667051007357212
78,1943.16037735849,-2.07603093479541,0.0676992701956441,1,1.40442556853457
79,1968.39622641509,-1.67249509710924,0.128757167620717,1,0.881429293437251
80,1993.6320754717,-2.39615370233247,0.0401502830149875,1,2.08273652703114
81,2018.8679245283,-1.68868051609068,0.125548285767228,1,0.897240219850041
82,2044.10377358491,-1.0769887890799,0.309505302170168,1,0.49440542478323
83,2069.33962264151,-1.42207295154786,0.188722046361915,1,0.677781845441537
84,2094.57547169811,-0.831386633665311,0.427261376733099,1,0.411660989075337
85,2119.81132075472,-0.699704856443458,0.501794776072576,1,0.37940366024932
86,2145.04716981132,-0.360131707774804,0.727055228574439,1,0.326494347871669
87,2170.28301886792,-0.811686643065578,0.437911158656323,1,0.406351246923222
88,2195.51886792453,-0.560087610998598,0.590753898160917,1,0.367001380080059
89,2220.75471698113,-0.0344148803695961,0.973389508222981,1,0.32178603480892
90,2245.99056603774,-1.15130520180903,0.287409163369029,1,0.563002080896688
91,2271.22641509434,-1.4648087423616,0.186390323740134,1,0.743117362505764
92,2296.46226415094,-0.847262586268993,0.424865898363833,1,0.449687889753685
93,2321.69811320755,-0.828614244052504,0.439033941962148,1,0.464790392475869
94,2346.93396226415,-1.47172825492273,0.215067051911602,1,0.810844483105251
95,2372.16981132075,-2.49782238308439,0.0669221270043048,1,1.80454782139783
96,2397.40566037736,-0.352316301187007,0.742380401097198,1,0.418390661090081
97,2422.64150943396,0.0412248380172403,0.969092313650553,1,0.397688000478966
98,2447.87735849057,-1.001001867362,0.373471054979257,1,0.576737659130365
99,2473.11320754717,0.132554015383973,0.900946731792603,1,0.400351732871611
100,2498.34905660377,-0.73085893366044,0.517773065942831,1,0.525917179341246
101,2523.58490566038,-0.528845205557708,0.633542398373991,1,0.478856020457435
102,2548.82075471698,-0.158070149657145,0.884442202234212,1,0.432178390522748
103,2574.05660377358,-0.141007811106564,0.896799711919098,1,0.431248014473466
104,2599.29245283019,0.56418764705826,0.61205441787785,1,0.485974623469172
