,bin,time(ms),not first & no update & correct,not first & update & correct,
207280074,52,1288,0.23894,0.27684,
207280074,53,1313,0.23596,0.35227,
207280074,54,1338,0.26773,0.34657,
207280074,55,1364,0.17898,0.35949,
207280074,56,1389,0.13601,0.40983,
207280074,57,1414,0.16913,0.36253,
207280074,58,1439,0.1065,0.42794,
207280074,59,1465,0.093308,0.41862,
207280074,60,1490,0.11913,0.44998,
207280074,61,1515,0.011602,0.4434,
207280074,62,1540,0.009655,0.43751,
207280074,63,1566,-0.0020347,0.46049,
207280074,64,1591,0.012373,0.44118,
207280074,65,1616,-0.026986,0.40895,
207280074,66,1641,0.0087376,0.44275,
207280074,67,1667,-0.050748,0.42564,
207280074,68,1692,-0.086464,0.41965,
207280074,69,1717,-0.070827,0.43767,
207280074,70,1742,-0.10875,0.44608,
207280074,71,1768,-0.031988,0.39476,
207280074,72,1793,-0.13944,0.39323,
207280074,73,1818,-0.011729,0.37346,
207280074,74,1843,-0.10529,0.34765,
207280074,75,1869,-0.20097,0.36123,
207280074,76,1894,-0.20402,0.25448,
207280074,77,1919,-0.20082,0.25019,
207280074,78,1944,-0.27362,0.23684,
207280074,79,1970,-0.21061,0.21452,
207280074,80,1995,-0.21627,0.16782,
207280074,81,2020,-0.31616,0.16119,
207280074,82,2045,-0.28261,0.14674,
207280074,83,2071,-0.26398,0.16165,
207280074,84,2096,-0.33865,0.038112,
207280074,85,2121,-0.32312,0.012907,
207280074,86,2146,-0.31024,0.038762,
207280074,87,2172,-0.29156,0.0055843,
207280074,88,2197,-0.30495,-0.088057,
207280074,89,2222,-0.25975,-0.16997,
207280074,90,2247,-0.32634,-0.27069,
207280074,91,2273,-0.28287,-0.26956,
207280074,92,2298,-0.39168,-0.31197,
207280074,93,2323,-0.3378,-0.28977,
207280074,94,2348,-0.39718,-0.21123,
207280074,95,2374,-0.30883,-0.23193,
207280074,96,2399,-0.39548,-0.27919,
207280074,97,2424,-0.26733,-0.31343,
207280074,98,2449,-0.4379,
207280074,99,2475,-0.38741,
207280074,100,2500,-0.35426,
207601006,1,0,0,0,
207601006,2,25,0.17376,0.18357,
207601006,3,50,0.22368,0.25512,
207601006,4,76,0.22713,-0.17272,
207601006,5,101,0.19841,0.067825,
207601006,6,126,0.049206,-0.0011962,
207601006,7,151,-0.0070667,0.22105,
207601006,8,177,0.020485,0.013363,
207601006,9,202,-0.0041319,0.04826,
207601006,10,227,0.072869,0.29085,
207601006,11,252,0.083367,-0.0071979,
207601006,12,278,0.12909,0.006822,
207601006,13,303,0.070243,0.054962,
207601006,14,328,0.11614,0.19231,
207601006,15,353,-0.033393,0.011119,
207601006,16,379,0.1163,-0.0090194,
207601006,17,404,0.019633,-0.058199,
207601006,18,429,-0.046842,-0.014883,
207601006,19,454,-0.031465,0.18044,
207601006,20,480,0.097898,-0.042645,
207601006,21,505,0.39137,-0.010254,
207601006,22,530,0.044367,0.0023126,
207601006,23,555,0.29339,-0.013337,
207601006,24,581,0.15389,0.074916,
207601006,25,606,0.23636,-0.12808,
207601006,26,631,0.17275,0.023128,
207601006,27,656,0.18997,-0.22728,
207601006,28,682,-0.019052,-0.21372,
207601006,29,707,0.21604,0.093822,
207601006,30,732,0.21523,0.026345,
207601006,31,757,0.19205,-0.14703,
207601006,32,783,0.15693,-0.085195,
207601006,33,808,0.11024,-0.20541,
207601006,34,833,0.023038,-0.0049315,
207601006,35,858,-0.013935,-0.15591,
207601006,36,884,0.16184,-0.090711,
207601006,37,909,-0.05833,0.16191,
207601006,38,934,0.24519,-0.016715,
207601006,39,959,0.044171,0.023318,
207601006,40,985,0.10024,0.01884,
207601006,41,1010,0.13831,-0.0021509,
207601006,42,1035,0.018909,-0.027212,
207601006,43,1060,0.021416,-0.23419,
207601006,44,1086,0.086469,-0.20824,
207601006,45,1111,-0.1654,-0.10878,
207601006,46,1136,0.12371,0.052962,
207601006,47,1161,0.10419,0.059344,
207601006,48,1187,-0.0012144,-0.16393,
207601006,49,1212,0.085619,-0.062149,
207601006,50,1237,-0.037019,-0.27228,
207601006,51,1262,-0.090687,-0.12647,
207601006,52,1288,0.002102,-0.12911,
207601006,53,1313,0.039839,-0.10546,
207601006,54,1338,-0.30054,-0.0069567,
207601006,55,1363,-0.069874,-0.179,
207601006,56,1389,-0.10702,-0.022564,
207601006,57,1414,0.11438,-0.16293,
207601006,58,1439,0.16976,-0.17475,
207601006,59,1464,0.0064925,-0.16216,
207601006,60,1490,0.081293,-0.17035,
207601006,61,1515,0.2937,0.028637,
207601006,62,1540,0.090005,0.090773,
207601006,63,1565,-0.10922,0.081949,
207601006,64,1591,0.1237,-0.091061,
207601006,65,1616,0.063336,0.19489,
207601006,66,1641,0.28405,0.17727,
207601006,67,1666,0.30843,-0.011057,
207601006,68,1692,0.22697,-0.05191,
207601006,69,1717,0.16915,0.21727,
207601006,70,1742,0.16821,0.15233,
207601006,71,1767,0.19814,0.10917,
207601006,72,1793,0.19012,0.074636,
207601006,73,1818,0.010011,-0.12338,
207601006,74,1843,0.37281,0.044088,
207601006,75,1868,0.16345,0.021812,
207601006,76,1894,0.092334,-0.051369,
207601006,77,1919,0.23629,-0.058164,
207601006,78,1944,0.31416,0.064566,
207601006,79,1969,0.31046,0.094423,
207601006,80,1995,0.086372,0.22297,
207601006,81,2020,0.15317,0.0079869,
207601006,82,2045,0.29837,-0.094285,
207601006,83,2070,-0.052342,-0.084605,
207601006,84,2096,0.29903,-0.25001,
207601006,85,2121,0.11957,-0.20408,
207601006,86,2146,0.15942,-0.20141,
207601006,87,2171,0.1922,-0.12481,
207601006,88,2197,0.21241,-0.30595,
207601006,89,2222,0.16687,-0.17017,
207601006,90,2247,0.30557,-0.2228,
207601006,91,2272,0.16172,-0.12566,
207601006,92,2298,0.35198,-0.033353,
207601006,93,2323,0.16949,-0.18521,
207601006,94,2348,0.23257,-0.15701,
207601006,95,2373,0.22416,-0.066664,
207601006,96,2399,0.222,0.15041,
207601006,97,2424,0.11606,-0.22109,
207601006,98,2449,0.14687,0.11026,
207601006,99,2474,0.43246,
207601006,100,2500,0.16031,
207601006,101,2525,0.15164,
207601006,102,2550,0.028915,
208827162,1,0,0,0,
208827162,2,25,-0.007057,0.065635,
208827162,3,51,-0.03417,0.17442,
208827162,4,76,0.0058161,0.16162,
208827162,5,101,0.094364,0.3416,
208827162,6,126,0.02319,0.15542,
208827162,7,152,0.01978,0.32988,
208827162,8,177,0.057243,0.22841,
208827162,9,202,0.017636,0.34652,
208827162,10,227,0.14294,0.26557,
208827162,11,253,0.11995,0.14373,
208827162,12,278,0.044708,-0.001828,
208827162,13,303,0.17433,0.50061,
208827162,14,328,0.14887,0.36074,
208827162,15,354,0.15337,0.41862,
208827162,16,379,0.033746,0.23419,
208827162,17,404,0.029219,0.36224,
208827162,18,429,0.1849,0.14468,
208827162,19,455,0.1036,0.13169,
208827162,20,480,0.079346,0.053373,
208827162,21,505,0.00068353,0.08694,
208827162,22,530,0.025334,0.0059393,
208827162,23,556,0.10363,0.049148,
208827162,24,581,0.11085,0.010112,
208827162,25,606,-0.01078,0.063701,
208827162,26,631,0.040564,-0.015601,
208827162,27,657,0.060089,0.0070661,
208827162,28,682,0.16724,-0.0051329,
208827162,29,707,0.076559,0.21203,
208827162,30,732,0.07737,-0.0165,
208827162,31,758,-0.11564,0.18051,
208827162,32,783,0.048754,0.043072,
208827162,33,808,0.07859,0.015462,
208827162,34,834,0.0097667,0.015872,
208827162,35,859,0.010289,0.21592,
208827162,36,884,-0.029239,0.23768,
208827162,37,909,-0.041143,0.24002,
208827162,38,935,-0.0076616,0.10879,
208827162,39,960,-0.12078,0.043028,
208827162,40,985,-0.045099,0.11225,
208827162,41,1010,0.049422,0.2732,
208827162,42,1036,-0.052764,0.1628,
208827162,43,1061,0.090778,0.2389,
208827162,44,1086,-0.075322,0.29263,
208827162,45,1111,0.060445,0.33261,
208827162,46,1137,0.18046,0.27157,
208827162,47,1162,0.0059212,0.21997,
208827162,48,1187,-0.091663,0.23543,
208827162,49,1212,0.013371,0.21051,
208827162,50,1238,0.063815,0.28784,
208827162,51,1263,0.058527,0.29459,
208827162,52,1288,0.13527,0.37254,
208827162,53,1313,0.14765,0.24084,
208827162,54,1339,0.15152,0.35723,
208827162,55,1364,0.05306,0.2684,
208827162,56,1389,0.092241,0.37668,
208827162,57,1414,0.14264,0.33774,
208827162,58,1440,0.1507,0.29292,
208827162,59,1465,0.26025,0.30075,
208827162,60,1490,0.20294,0.35835,
208827162,61,1515,0.21862,0.33658,
208827162,62,1541,0.2232,0.37072,
208827162,63,1566,0.31289,0.53448,
208827162,64,1591,0.32299,0.42777,
208827162,65,1616,0.20092,0.34054,
208827162,66,1642,0.31287,0.34048,
208827162,67,1667,0.40155,0.33138,
208827162,68,1692,0.3653,0.35467,
208827162,69,1718,0.28154,0.31364,
208827162,70,1743,0.16663,0.3749,
208827162,71,1768,0.19092,0.16307,
208827162,72,1793,0.2091,0.12469,
208827162,73,1819,0.14611,0.23523,
208827162,74,1844,0.052103,0.30583,
208827162,75,1869,0.054866,0.21969,
208827162,76,1894,0.0050167,0.12289,
208827162,77,1920,0.0016414,0.21237,
208827162,78,1945,0.0064021,0.42993,
208827162,79,1970,-0.011508,0.34395,
208827162,80,1995,-0.03689,0.33006,
208827162,81,2021,-0.053743,0.26787,
208827162,82,2046,-0.085865,0.19487,
208827162,83,2071,-0.0032648,0.23136,
208827162,84,2096,-0.11958,0.15187,
208827162,85,2122,-0.12804,0.043026,
208827162,86,2147,-0.10731,0.26165,
208827162,87,2172,-0.2353,0.32589,
208827162,88,2197,-0.24524,0.049495,
208827162,89,2223,-0.017223,-0.0007744,
208827162,90,2248,-0.399,0.061164,
208827162,91,2273,-0.098011,0.056548,
208827162,92,2298,-0.12709,0.094397,
208827162,93,2324,-0.16553,0.14246,
208827162,94,2349,-0.10331,
208827162,95,2374,-0.19096,
208827162,96,2399,-0.16417,
208827162,97,2425,-0.24024,
208827162,98,2450,-0.21807,
209049931,1,0,0,0,
209049931,2,25,0.0021329,-0.024122,
209049931,3,51,0.0024918,-0.0372,
209049931,4,76,-0.015712,-0.0046967,
209049931,5,101,0.024126,0.014501,
209049931,6,126,0.056859,0.047026,
209049931,7,152,0.056933,0.037321,
209049931,8,177,0.069366,0.061408,
209049931,9,202,0.081534,-0.021818,
209049931,10,227,0.023819,-0.024751,
209049931,11,253,0.091482,-0.010993,
209049931,12,278,0.069699,-0.056957,
209049931,13,303,0.12046,-0.031045,
209049931,14,328,0.034761,0.01084,
209049931,15,354,0.12437,-0.041782,
209049931,16,379,0.10088,-0.04511,
209049931,17,404,0.10578,-0.074874,
209049931,18,429,0.12229,-0.067601,
209049931,19,455,0.094861,-0.056794,
209049931,20,480,0.08487,-0.048347,
209049931,21,505,0.088384,-0.050066,
209049931,22,530,0.061428,-0.023707,
209049931,23,556,0.1127,-0.073645,
209049931,24,581,0.12861,-0.062789,
209049931,25,606,0.13401,-0.0025604,
209049931,26,631,0.14087,-0.014382,
209049931,27,657,0.16719,-0.0095322,
209049931,28,682,0.1863,0.023144,
209049931,29,707,0.17365,0.069985,
209049931,30,732,0.18367,0.061777,
209049931,31,758,0.20738,0.044923,
209049931,32,783,0.1811,0.053576,
209049931,33,808,0.18873,0.10099,
209049931,34,834,0.15147,0.11962,
209049931,35,859,0.20375,0.14422,
209049931,36,884,0.16996,0.1302,
209049931,37,909,0.17695,0.10291,
209049931,38,935,0.18777,0.15667,
209049931,39,960,0.1982,0.16868,
209049931,40,985,0.12339,0.14284,
209049931,41,1010,0.15724,0.17544,
209049931,42,1036,0.19436,0.14062,
209049931,43,1061,0.13963,0.17281,
209049931,44,1086,0.12587,0.13276,
209049931,45,1111,0.13546,0.13236,
209049931,46,1137,0.173,0.13194,
209049931,47,1162,0.21414,0.18803,
209049931,48,1187,0.16163,0.13559,
209049931,49,1212,0.15913,0.13729,
209049931,50,1238,0.18557,0.15239,
209049931,51,1263,0.15149,0.14825,
209049931,52,1288,0.062484,0.079581,
209049931,53,1313,0.085907,0.092015,
209049931,54,1339,0.0311,0.1474,
209049931,55,1364,0.069416,0.083326,
209049931,56,1389,0.020953,0.07637,
209049931,57,1414,-0.0043437,0.088967,
209049931,58,1440,0.039306,0.048482,
209049931,59,1465,0.015743,0.052661,
209049931,60,1490,0.0034483,-0.0047187,
209049931,61,1515,-0.029424,0.01803,
209049931,62,1541,-0.033436,0.029139,
209049931,63,1566,-0.057606,-0.00069136,
209049931,64,1591,-0.040221,0.029335,
209049931,65,1616,-0.089453,0.023043,
209049931,66,1642,-0.059092,0.012264,
209049931,67,1667,-0.060934,-0.020819,
209049931,68,1692,-0.05682,-0.044355,
209049931,69,1718,-0.073562,-0.04911,
209049931,70,1743,-0.021025,-0.010749,
209049931,71,1768,-0.010708,-0.016117,
209049931,72,1793,-0.038203,-0.04352,
209049931,73,1819,0.0060194,-0.10376,
209049931,74,1844,-0.013637,-0.079502,
209049931,75,1869,-0.018202,-0.077419,
209049931,76,1894,-0.060484,-0.057476,
209049931,77,1920,-0.085733,-0.063768,
209049931,78,1945,-0.074533,-0.11223,
209049931,79,1970,-0.10425,-0.10255,
209049931,80,1995,-0.13635,-0.06179,
209049931,81,2021,-0.11815,-0.11892,
209049931,82,2046,-0.17052,-0.081462,
209049931,83,2071,-0.21088,-0.035682,
209049931,84,2096,-0.18165,-0.098393,
209049931,85,2122,-0.28664,-0.10593,
209049931,86,2147,-0.28978,-0.16941,
209049931,87,2172,-0.34685,-0.19071,
209049931,88,2197,-0.35464,-0.14499,
209049931,89,2223,-0.26163,-0.12455,
209049931,90,2248,-0.3245,-0.13253,
209049931,91,2273,-0.30071,-0.19394,
209049931,92,2298,-0.30075,-0.23155,
209049931,93,2324,-0.28866,-0.16661,
209049931,94,2349,-0.2934,-0.16275,
209049931,95,2374,-0.19525,
209049931,96,2399,-0.18779,
209049931,97,2425,-0.18067,
209049931,98,2450,-0.17428,
209154863,1,0,0,0,
209154863,2,25,-0.025435,-0.0050723,
209154863,3,50,-0.01167,-0.00043388,
209154863,4,76,-0.067329,-0.063913,
209154863,5,101,-0.07076,-0.02966,
209154863,6,126,-0.075895,-0.061542,
209154863,7,151,-0.10889,-0.066726,
209154863,8,176,-0.098066,-0.088053,
209154863,9,201,-0.093684,-0.10241,
209154863,10,227,-0.11421,-0.13085,
209154863,11,252,-0.12129,-0.12615,
209154863,12,277,-0.11716,-0.13637,
209154863,13,302,-0.12755,-0.12062,
209154863,14,327,-0.13005,-0.11446,
209154863,15,353,-0.11791,-0.12746,
209154863,16,378,-0.14408,-0.16183,
209154863,17,403,-0.13677,-0.15908,
209154863,18,428,-0.15586,-0.16072,
209154863,19,453,-0.1652,-0.1328,
209154863,20,479,-0.16775,-0.14142,
209154863,21,504,-0.16543,-0.15045,
209154863,22,529,-0.13548,-0.17287,
209154863,23,554,-0.17086,-0.11155,
209154863,24,579,-0.18165,-0.11889,
209154863,25,604,-0.16048,-0.12021,
209154863,26,630,-0.15453,-0.082989,
209154863,27,655,-0.15362,-0.064784,
209154863,28,680,-0.19064,-0.058111,
209154863,29,705,-0.1495,-0.057049,
209154863,30,730,-0.1459,-0.060164,
209154863,31,756,-0.17663,-0.021311,
209154863,32,781,-0.12215,-0.038304,
209154863,33,806,-0.16073,-0.025287,
209154863,34,831,-0.13677,0.0012127,
209154863,35,856,-0.10337,0.031994,
209154863,36,882,-0.12011,0.0049447,
209154863,37,907,-0.099318,0.046807,
209154863,38,932,-0.090897,0.04581,
209154863,39,957,-0.086451,0.036357,
209154863,40,982,-0.094174,0.092021,
209154863,41,1007,-0.11422,0.094535,
209154863,42,1033,-0.070363,0.1376,
209154863,43,1058,-0.020166,0.11633,
209154863,44,1083,-0.020361,0.13846,
209154863,45,1108,-0.030693,0.15066,
209154863,46,1133,-0.0040112,0.17912,
209154863,47,1159,0.033385,0.13946,
209154863,48,1184,0.012954,0.16857,
209154863,49,1209,0.016604,0.20308,
209154863,50,1234,0.033707,0.18997,
209154863,51,1259,0.037505,0.21493,
209154863,52,1285,0.080564,0.22161,
209154863,53,1310,0.074147,0.23637,
209154863,54,1335,0.065987,0.26833,
209154863,55,1360,0.069942,0.30953,
209154863,56,1385,0.093889,0.30876,
209154863,57,1410,0.090055,0.3298,
209154863,58,1436,0.095709,0.3166,
209154863,59,1461,0.10113,0.35096,
209154863,60,1486,0.088691,0.34035,
209154863,61,1511,0.078086,0.2974,
209154863,62,1536,0.064786,0.29452,
209154863,63,1562,0.046794,0.2729,
209154863,64,1587,0.040711,0.24951,
209154863,65,1612,0.00046396,0.1996,
209154863,66,1637,-0.02294,0.1709,
209154863,67,1662,-0.053647,0.17711,
209154863,68,1688,-0.10386,0.16995,
209154863,69,1713,-0.10625,0.14204,
209154863,70,1738,-0.097722,0.17157,
209154863,71,1763,-0.11279,0.14244,
209154863,72,1788,-0.14675,0.095309,
209154863,73,1813,-0.13526,0.11778,
209154863,74,1839,-0.13586,0.09902,
209154863,75,1864,-0.1931,0.078355,
209154863,76,1889,-0.15642,0.10332,
209154863,77,1914,-0.11818,0.097544,
209154863,78,1939,-0.15601,0.10056,
209154863,79,1965,-0.10871,0.13276,
209154863,80,1990,-0.12718,0.12631,
209154863,81,2015,-0.13854,0.16699,
209154863,82,2040,-0.15245,0.12656,
209154863,83,2065,-0.13361,0.13565,
209154863,84,2090,-0.15304,0.11869,
209154863,85,2116,-0.1463,0.10904,
209154863,86,2141,-0.13025,0.1683,
209154863,87,2166,-0.14521,0.17541,
209154863,88,2191,-0.1371,0.124,
209154863,89,2216,-0.13402,0.12277,
209154863,90,2242,-0.13013,0.1044,
209154863,91,2267,-0.17011,0.1123,
209154863,92,2292,-0.19668,0.10402,
209154863,93,2317,-0.17275,0.11344,
209154863,94,2342,-0.19371,0.088121,
209154863,95,2368,-0.18245,0.075232,
209154863,96,2393,-0.17495,0.046343,
209154863,97,2418,-0.17754,0.070144,
209154863,98,2443,-0.18593,0.047987,
209154863,99,2468,-0.20153,0.037692,
209154863,100,2493,-0.22867,0.030517,
209154863,101,2519,-0.17115,0.056096,
209154863,102,2544,-0.22173,0.027684,
209154863,103,2569,-0.22356,0.0082248,
209154863,104,2594,-0.21393,-0.014987,
209154863,105,2619,-0.19612,0.0010336,
209154863,106,2645,-0.20901,-0.014911,
209154863,107,2670,-0.17635,-0.024808,
209154863,108,2695,-0.17676,-0.0011331,
209154863,109,2720,-0.18923,-0.045048,
209154863,110,2745,-0.19787,-0.0090574,
