Event,RecordingTimestamp
TRIALID,32964
!E TRIAL_EVENT_VAR stimulus_onset,32969
!E TRIAL_EVENT_VAR stimulus_offset,33982
TRIAL_END,34987
TRIALID,34988
!E TRIAL_EVENT_VAR stimulus_onset,34993
!E TRIAL_EVENT_VAR stimulus_offset,36001
TRIAL_END,37007
TRIALID,37008
!E TRIAL_EVENT_VAR stimulus_onset,37013
!E TRIAL_EVENT_VAR stimulus_offset,38022
TRIAL_END,39026
TRIALID,39027
!E TRIAL_EVENT_VAR stimulus_onset,39031
!E TRIAL_EVENT_VAR stimulus_offset,40039
TRIAL_END,41044
TRIALID,41045
!E TRIAL_EVENT_VAR stimulus_onset,41050
!E TRIAL_EVENT_VAR stimulus_offset,42057
TRIAL_END,43061
TRIALID,43062
!E TRIAL_EVENT_VAR stimulus_onset,43066
!E TRIAL_EVENT_VAR stimulus_offset,44075
TRIAL_END,45080
TRIALID,45081
!E TRIAL_EVENT_VAR stimulus_onset,45085
!E TRIAL_EVENT_VAR stimulus_offset,46093
TRIAL_END,47097
