Event,RecordingTimestamp,border color,figure,is_color_change,is_figure_change,session_num,trial_id
TRIALID,122690.31071662903,,,,,,
!E TRIAL_EVENT_VAR fixation,122953.31001281738,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,123964.30540084839,,,,,,
,,red,Y,False,False,1.0,1
TRIAL_END,124969.27165985107,,,,,,
TRIALID,124971.27175331116,,,,,,
!E TRIAL_EVENT_VAR fixation,124976.30095481873,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,125986.29713058472,,,,,,
,,red,X,False,True,1.0,2
TRIAL_END,126991.29223823547,,,,,,
TRIALID,126993.29161643982,,,,,,
!E TRIAL_EVENT_VAR fixation,126999.29285049438,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,128007.28750228882,,,,,,
,,red,Y,False,True,1.0,3
TRIAL_END,129012.28284835815,,,,,,
TRIALID,129014.2834186554,,,,,,
!E TRIAL_EVENT_VAR fixation,129019.28329467773,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,130028.24854850769,,,,,,
,,blue,Y,True,True,1.0,4
TRIAL_END,131032.24515914917,,,,,,
TRIALID,131034.2435836792,,,,,,
!E TRIAL_EVENT_VAR fixation,131039.24369812012,,,,,,
!E TRIAL_EVENT_VAR stimulus_onset,132048.26974868774,,,,,,
,,red,Y,True,True,1.0,5
TRIAL_END,133052.26635932922,,,,,,
