	device_time_stamp	system_time_stamp	UTC	left_gaze_point_on_display_area_x	left_gaze_point_on_display_area_y	left_gaze_point_in_user_coordinate_system_x	left_gaze_point_in_user_coordinate_system_y	left_gaze_point_in_user_coordinate_system_z	left_gaze_origin_in_trackbox_coordinate_system_x	left_gaze_origin_in_trackbox_coordinate_system_y	left_gaze_origin_in_trackbox_coordinate_system_z	left_gaze_origin_in_user_coordinate_system_x	left_gaze_origin_in_user_coordinate_system_y	left_gaze_origin_in_user_coordinate_system_z	left_pupil_diameter	left_pupil_validity	left_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_on_display_area_x	right_gaze_point_on_display_area_y	right_gaze_point_in_user_coordinate_system_x	right_gaze_point_in_user_coordinate_system_y	right_gaze_point_in_user_coordinate_system_z	right_gaze_origin_in_trackbox_coordinate_system_x	right_gaze_origin_in_trackbox_coordinate_system_y	right_gaze_origin_in_trackbox_coordinate_system_z	right_gaze_origin_in_user_coordinate_system_x	right_gaze_origin_in_user_coordinate_system_y	right_gaze_origin_in_user_coordinate_system_z	right_pupil_diameter	right_pupil_validity	right_gaze_origin_validity	right_gaze_point_validity
0	5363927578	223523176130	1636633597.6611965													0	0	0													0	0	0
1	5363935909	223523184460	1636633597.669695	0.4731147289276123	0.3395361304283142	-10.369186401367188	195.62554931640625	66.54621124267578	0.5668638944625854	0.4807349443435669	0.5219610333442688	-30.731435775756836	8.854448318481445	656.5883178710938		0	1	1	0.6447062492370605	0.3046932816505432	53.943817138671875	205.24879455566406	70.63104248046875	0.42754900455474854	0.4829891324043274	0.5113391280174255	33.13772201538086	7.78045129776001	653.4017333984375		0	1	1
2	5363944240	223523192791	1636633597.678036	0.4728583097457886	0.3492702841758728	-10.465301513671875	192.93707275390625	65.40501403808594	0.5668619871139526	0.4806353747844696	0.521969199180603	-30.730684280395508	8.90024471282959	656.5907592773438		0	1	1	0.6489832401275635	0.2972935438156128	55.546844482421875	207.29254150390625	71.49855041503906	0.42760831117630005	0.48291823267936707	0.5116585493087769	33.115447998046875	7.814031600952148	653.49755859375		0	1	1
3	5363952576	223523201127	1636633597.6866424													0	0	0													0	0	0
4	5363960906	223523209457	1636633597.6946487	0.46998149156570435	0.34739282727241516	-11.543533325195312	193.4556121826172	65.6251220703125	0.5666383504867554	0.48058316111564636	0.5219004154205322	-30.62693977355957	8.923962593078613	656.5701293945312		0	1	1	0.6438355445861816	0.29363787174224854	53.61747741699219	208.30218505859375	71.9271240234375	0.4273034632205963	0.48286566138267517	0.5120558738708496	33.26097106933594	7.839498043060303	653.6167602539062		0	1	1
5	5363969240	223523217791	1636633597.7030919	0.48015475273132324	0.32008880376815796	-7.7305755615234375	200.9967041015625	68.82613372802734	0.5666664242744446	0.4805108606815338	0.5219520926475525	-30.640562057495117	8.957403182983398	656.5856323242188		0	1	1	0.6498661637306213	0.28813135623931885	55.877777099609375	209.82302856445312	72.57269287109375	0.42735928297042847	0.48282015323638916	0.5124208331108093	33.24100112915039	7.861636638641357	653.7262573242188		0	1	1
6	5363977573	223523226123	1636633597.7113461													0	0	0													0	0	0
7	5363985893	223523234443	1636633597.7190855													0	0	0	0.6519964337348938	0.26805630326271057	56.67620849609375	215.3675537109375	74.92620849609375	0.4271325170993805	0.4828203618526459	0.5127457976341248	33.34974670410156	7.862720012664795	653.82373046875		0	1	1
8	5363994276	223523242826	1636633597.728082	0.4655548334121704	0.3287942409515381	-13.202667236328125	198.59234619140625	67.8055419921875	0.5664557218551636	0.48033785820007324	0.5220003128051758	-30.544387817382812	9.037113189697266	656.60009765625		0	1	1	0.6457179188728333	0.2613048851490021	54.322998046875	217.23223876953125	75.71771240234375	0.4272308051586151	0.48277854919433594	0.5128737092018127	33.30671310424805	7.882324695587158	653.8621215820312		0	1	1
9	5364002571	223523251121	1636633597.736259													0	0	0													0	0	0
10	5364010901	223523259451	1636633597.744714	0.4708164930343628	0.3229427933692932	-11.230575561523438	200.20846557617188	68.49154663085938	0.5662699937820435	0.48032084107398987	0.5220078825950623	-30.45913314819336	9.044965744018555	656.6023559570312		0	1	1	0.6466804146766663	0.26323801279067993	54.683746337890625	216.69833374023438	75.49108123779297	0.4270196855068207	0.4828292727470398	0.5127158761024475	33.40092849731445	7.858530521392822	653.8147583007812		0	1	1
11	5364019233	223523267782	1636633597.7533777	0.478066086769104	0.31181800365448	-8.513412475585938	203.28102111816406	69.79576110839844	0.5663070678710938	0.4803123474121094	0.5221685767173767	-30.478408813476562	9.04953670501709	656.6505737304688		0	1	1	0.6448660492897034	0.27326691150665283	54.00372314453125	213.92843627929688	74.31533813476562	0.42704498767852783	0.48279625177383423	0.5124871730804443	33.38583755493164	7.872819423675537	653.7461547851562		0	1	1
12	5364027569	223523276118	1636633597.7613924													0	0	0													0	0	0
13	5364035901	223523284450	1636633597.769707													0	0	0	0.6475979685783386	0.27916786074638367	55.02764892578125	212.2986602783203	73.62353515625	0.4268437623977661	0.48282390832901	0.5117796063423157	33.467063903808594	7.8576178550720215	653.5338745117188		0	1	1
14	5364044232	223523292781	1636633597.7778292	0.47353482246398926	0.32913708686828613	-10.21173095703125	198.49766540527344	67.76535034179688	0.5661886930465698	0.48019716143608093	0.5225081443786621	-30.42872428894043	9.103896141052246	656.75244140625		0	1	1	0.6472243666648865	0.2777811884880066	54.88761901855469	212.681640625	73.78610229492188	0.4268902540206909	0.48278000950813293	0.5113063454627991	33.43852233886719	7.875982284545898	653.3919067382812		0	1	1
15	5364052567	223523301115	1636633597.7865257													0	0	0													0	0	0
16	5364060890	223523309438	1636633597.7946208	0.46173086762428284	0.31315886974334717	-14.635894775390625	202.9106903076172	69.63856506347656	0.5659878253936768	0.48009392619132996	0.5228102803230286	-30.340547561645508	9.15261459350586	656.8430786132812		0	1	1	0.650833010673523	0.2690514326095581	56.24015808105469	215.09271240234375	74.80953979492188	0.42679378390312195	0.48280850052833557	0.5102390646934509	33.46623992919922	7.859101295471191	653.0717163085938		0	1	1
