Event,RecordingTimestamp
!E TRIAL_EVENT_VAR stimulus_offset,129215.387
TRIAL_END,129220.371
TRIALID,129221.371
!E TRIAL_EVENT_VAR fixation,129226.371
!E TRIAL_EVENT_VAR stimulus_onset,130235.447
!E TRIAL_EVENT_VAR stimulus_offset,131239.431
TRIAL_END,131243.432
TRIALID,131244.431
!E TRIAL_EVENT_VAR fixation,131254.431
!E TRIAL_EVENT_VAR stimulus_onset,132262.854
!E TRIAL_EVENT_VAR stimulus_offset,133265.877
TRIAL_END,133269.853
TRIALID,133270.853
!E TRIAL_EVENT_VAR fixation,133275.884
!E TRIAL_EVENT_VAR stimulus_onset,134284.702
!E TRIAL_EVENT_VAR stimulus_offset,135287.804
TRIAL_END,135291.739
TRIALID,135292.768
!E TRIAL_EVENT_VAR fixation,135297.748
!E TRIAL_EVENT_VAR stimulus_onset,136306.051
!E TRIAL_EVENT_VAR stimulus_offset,137309.327
TRIAL_END,137313.328
TRIALID,143350.738
!E TRIAL_EVENT_VAR fixation,143355.738
!E TRIAL_EVENT_VAR stimulus_onset,144365.964
!E TRIAL_EVENT_VAR stimulus_offset,145370.559
TRIAL_END,145374.553
TRIALID,145376.553
!E TRIAL_EVENT_VAR fixation,145382.552
!E TRIAL_EVENT_VAR stimulus_onset,146391.577
!E TRIAL_EVENT_VAR stimulus_offset,147394.896
TRIAL_END,147398.896
TRIALID,147399.896
!E TRIAL_EVENT_VAR fixation,147404.907
!E TRIAL_EVENT_VAR stimulus_onset,148413.266
!E TRIAL_EVENT_VAR stimulus_offset,149416.584
TRIAL_END,149420.558
TRIALID,149421.558
!E TRIAL_EVENT_VAR fixation,149426.566
!E TRIAL_EVENT_VAR stimulus_onset,150434.922
!E TRIAL_EVENT_VAR stimulus_offset,151438.927
TRIAL_END,151442.897
