device_time_stamp,system_time_stamp,UTC,left_gaze_point_on_display_area_x,left_gaze_point_on_display_area_y,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_gaze_origin_in_trackbox_coordinate_system_x,left_gaze_origin_in_trackbox_coordinate_system_y,left_gaze_origin_in_trackbox_coordinate_system_z,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,left_pupil_diameter,left_pupil_validity,left_gaze_origin_validity,left_gaze_point_validity,right_gaze_point_on_display_area_x,right_gaze_point_on_display_area_y,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_gaze_origin_in_trackbox_coordinate_system_x,right_gaze_origin_in_trackbox_coordinate_system_y,right_gaze_origin_in_trackbox_coordinate_system_z,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z,right_pupil_diameter,right_pupil_validity,right_gaze_origin_validity,right_gaze_point_validity
1394138814,4651828489410,12631.402,0.43456336855888367,0.4339566230773926,-24.818359375,169.54757690429688,55.476749420166016,0.5888527631759644,0.518643319606781,0.9126251339912415,-48.127197265625,-10.098190307617188,773.7875366210938,,0,1,1,0.6798150539398193,0.3447556793689728,67.10270690917969,194.1839599609375,65.93429565429688,0.4700859785079956,0.5203884840011597,0.8959676027297974,16.09833335876465,-10.972112655639648,768.790283203125,,0,1,1
1394147142,4651828497737,12639.466,0.4343474209308624,0.4152272939682007,-24.8992919921875,174.72042846679688,57.6724967956543,0.5889979600906372,0.5187344551086426,0.912010908126831,-48.194366455078125,-10.145129203796387,773.603271484375,,0,1,1,0.668739378452301,0.3584851026535034,62.951507568359375,190.39202880859375,64.32470703125,0.4701680839061737,0.5204483866691589,0.895920991897583,16.053842544555664,-11.004157066345215,768.7763061523438,,0,1,1
1394155480,4651828506075,12648.218,0.4382888078689575,0.4162995219230652,-23.422042846679688,174.42428588867188,57.546791076660156,0.5890015959739685,0.5187951326370239,0.9112322926521301,-48.18180465698242,-10.174912452697754,773.3696899414062,3.4179840087890625,1,1,1,0.6666784286499023,0.3652452230453491,62.17906188964844,188.52496337890625,63.53218460083008,0.47015130519866943,0.5205280184745789,0.8959645628929138,16.063159942626953,-11.047221183776855,768.7893676757812,3.3828277587890625,1,1,1
1394163801,4651828514396,12656.227,,,,,,,,,,,,,0,0,0,0.6624083518981934,0.3119685649871826,60.57862854003906,203.23944091796875,69.77811431884766,0.47015780210494995,0.5206200480461121,0.8956829905509949,16.05789566040039,-11.09550952911377,768.7048950195312,,0,1,1
1394172141,4651828522735,12665.254,0.442830353975296,0.41813114285469055,-21.719863891601562,173.91839599609375,57.332061767578125,0.5892114639282227,0.5189487934112549,0.9094891548156738,-48.262760162353516,-10.251166343688965,772.8467407226562,,0,1,1,0.6564258337020874,0.3126785159111023,58.33636474609375,203.04336547851562,69.69488525390625,0.4702741205692291,0.5206905603408813,0.8957871794700623,15.995948791503906,-11.13390827178955,768.7361450195312,,0,1,1
1394180478,4651828531072,12673.266,0.44242405891418457,0.40572166442871094,-21.872146606445312,177.3457794189453,58.786895751953125,0.589255154132843,0.5190088152885437,0.9085854291915894,-48.269447326660156,-10.280037879943848,772.5756225585938,3.3834075927734375,1,1,1,0.6598206758499146,0.31423112750053406,59.60874938964844,202.61453247070312,69.51286315917969,0.4703086018562317,0.5207275152206421,0.8959051370620728,15.978134155273438,-11.154300689697266,768.7715454101562,3.3625030517578125,1,1,1
1394188834,4651828539428,12681.369,0.4440096914768219,0.42091700434684753,-21.277847290039062,173.14898681640625,57.00545883178711,0.5892990231513977,0.5190093517303467,0.9073724150657654,-48.27043533325195,-10.275474548339844,772.2117309570312,,0,1,1,0.6704141497612,0.3444829285144806,63.5792236328125,194.25930786132812,65.96626281738281,0.4703158438205719,0.5207589864730835,0.8957523703575134,15.973274230957031,-11.170559883117676,768.7257080078125,,0,1,1
1394197138,4651828547731,12689.704,0.43973198533058167,0.41877248883247375,-22.881149291992188,173.74127197265625,57.25687026977539,0.5894848704338074,0.5190396904945374,0.9064320921897888,-48.35321044921875,-10.288110733032227,771.9296264648438,,0,1,1,0.6817315220832825,0.339047372341156,67.82099914550781,195.7605438232422,66.60350799560547,0.47047555446624756,0.5207469463348389,0.8955875635147095,15.88631820678711,-11.16336441040039,768.67626953125,,0,1,1
1394205491,4651828556084,12697.848,0.45181596279144287,0.41817280650138855,-18.352035522460938,173.90689086914062,57.32717514038086,0.5895578265190125,0.5190184712409973,0.9055891633033752,-48.37677764892578,-10.27329158782959,771.6767578125,3.4248199462890625,1,1,1,0.6795304417610168,0.33226147294044495,66.99603271484375,197.63473510742188,67.39906311035156,0.4704858362674713,0.5207255482673645,0.8953661918640137,15.879409790039062,-11.150897979736328,768.60986328125,3.416473388671875,1,1,1
1394213808,4651828564401,12706.445,0.4499678313732147,0.4083230495452881,-19.044723510742188,176.62730407714844,58.4819221496582,0.5896053314208984,0.518953263759613,0.904492199420929,-48.38180160522461,-10.233689308166504,771.34765625,,0,1,1,0.6690343618392944,0.30806833505630493,63.06207275390625,204.316650390625,70.23536682128906,0.4705604314804077,0.5207057595252991,0.8948404788970947,15.83602237701416,-11.137983322143555,768.4521484375,,0,1,1
