Event,RecordingTimestamp
TRIALID,53490
!E TRIAL_EVENT_VAR fixation,53496
!E TRIAL_EVENT_VAR stimulus_onset,54508
!E TRIAL_EVENT_VAR stimulus_offset,55512
TRIAL_END,55516
TRIALID,55518
!E TRIAL_EVENT_VAR fixation,55528
!E TRIAL_EVENT_VAR stimulus_onset,56536
!E TRIAL_EVENT_VAR stimulus_offset,57540
TRIAL_END,57544
TRIALID,57546
!E TRIAL_EVENT_VAR fixation,57561
!E TRIAL_EVENT_VAR stimulus_onset,58573
!E TRIAL_EVENT_VAR stimulus_offset,59576
TRIAL_END,59581
TRIALID,59582
!E TRIAL_EVENT_VAR fixation,59595
!E TRIAL_EVENT_VAR stimulus_onset,60602
!E TRIAL_EVENT_VAR stimulus_offset,61607
TRIAL_END,61611
TRIALID,61613
!E TRIAL_EVENT_VAR fixation,61631
!E TRIAL_EVENT_VAR stimulus_onset,62637
!E TRIAL_EVENT_VAR stimulus_offset,63641
TRIAL_END,63646
TRIALID,63647
!E TRIAL_EVENT_VAR fixation,63665
!E TRIAL_EVENT_VAR stimulus_onset,64673
!E TRIAL_EVENT_VAR stimulus_offset,65676
TRIAL_END,65681
TRIALID,65682
!E TRIAL_EVENT_VAR fixation,65700
!E TRIAL_EVENT_VAR stimulus_onset,66708
!E TRIAL_EVENT_VAR stimulus_offset,67712
TRIAL_END,67716
